Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,PETB,PETB,PETB
GFJPDDAG_00045 Biotin carboxylase,26.54609,26.12646,25.27274,22.09126,22.11073,21.49775,23.51424,22.54959,23.09468,22.34224,23.57877,23.48628,21.0443,20.47461,21.44394
GFJPDDAG_00046 Alkaline shock protein 23,25.80072,26.19443,25.43921,21.40446,23.28093,20.3642,20.73925,22.41725,21.66401,21.84418,23.19081,22.94812,22.53961,19.62903,20.29422
GFJPDDAG_00048 Bifunctional protein FolD protein,21.60503,21.96483,18.97555,21.67994,20.54333,20.20024,19.83552,21.50342,19.85872,20.76573,18.90487,20.83125,22.41101,20.11017,22.05354
GFJPDDAG_00053 1-deoxy-D-xylulose-5-phosphate synthase,19.66257,19.54892,19.03053,20.25059,20.78293,20.35766,19.62886,20.76306,20.2021,21.14286,20.25302,21.11292,21.73948,20.97238,21.05484
GFJPDDAG_00055 Arginine repressor,21.64513,22.73467,21.44531,19.83975,20.35558,19.83976,20.25616,20.71653,19.32805,20.17704,20.07092,21.06955,21.52799,19.79912,20.79789
GFJPDDAG_00056 DNA repair protein RecN,19.69584,17.95396,19.42736,21.70894,21.08603,20.25689,20.11749,20.71781,20.78477,21.49616,19.93128,19.63261,22.43999,21.45241,20.20272
GFJPDDAG_00057 SpoIVB peptidase,19.67143,19.09379,20.75205,20.72646,20.54893,21.08586,19.616,22.9779,21.75017,21.26511,20.36708,21.59591,21.64999,19.73592,19.69687
GFJPDDAG_00058 Stage 0 sporulation protein A,24.31299,21.80786,23.07315,19.92401,20.83452,20.71669,20.20542,21.57905,19.59222,20.70852,20.23996,21.22777,21.97111,20.71319,21.63015
GFJPDDAG_00059 hypothetical protein,25.47184,25.028,26.74253,26.16379,27.06856,26.57228,26.19811,27.04874,26.34465,25.80813,28.02892,27.57391,24.43498,20.11041,21.34205
GFJPDDAG_00060 Glycerophosphodiester phosphodiesterase,23.20263,21.36656,23.59275,21.03405,23.06784,22.5086,24.1801,24.69604,24.2129,21.72825,23.71104,22.81722,22.52365,20.33942,20.81263
GFJPDDAG_00062 Arginine utilization regulatory protein RocR,19.81843,18.71968,20.78259,20.87036,19.71539,21.04922,20.46994,19.93529,25.75954,21.48175,18.10872,20.62535,22.38908,20.72852,20.68371
GFJPDDAG_00063 Phosphate acetyltransferase,19.50862,19.96692,18.79377,20.08692,19.12112,21.74117,19.96078,21.08948,19.85489,20.79627,19.73075,19.50707,21.87065,19.8689,21.72498
GFJPDDAG_00064 Leucine dehydrogenase,25.36229,25.93881,25.32787,24.23374,24.77886,24.86684,24.51418,24.43333,24.61885,23.83239,24.1715,24.38416,22.05718,20.53242,20.15152
GFJPDDAG_00066 Dihydrolipoyl dehydrogenase,22.96756,24.12841,23.09745,22.11258,23.29782,20.57073,22.84286,22.5078,23.02327,20.16222,19.79477,22.63194,21.46795,20.16463,20.51218
GFJPDDAG_00067 2-oxoisovalerate dehydrogenase subunit alpha,22.53998,22.51997,22.47529,21.65149,20.71304,21.90507,21.37533,20.17778,20.02037,20.46972,20.61009,20.80746,22.49677,20.38121,22.40794
GFJPDDAG_00068 2-oxoisovalerate dehydrogenase subunit beta,22.86391,24.15607,22.84969,20.2231,22.14576,20.8449,22.89332,21.81331,22.69181,21.29506,22.73223,22.08482,22.7832,20.73879,21.64064
GFJPDDAG_00069 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,23.60479,21.44258,23.74016,19.92076,19.26288,21.22183,20.68329,21.67516,21.77808,19.95532,21.43196,20.29942,21.17875,20.46908,21.30024
GFJPDDAG_00070 Bacillopeptidase F,32.70716,30.85653,33.86747,31.06014,33.35495,31.65574,33.42817,33.62484,32.97705,31.29866,32.86408,32.33493,30.73409,30.33682,28.61789
GFJPDDAG_00072 putative methylmalonyl-CoA mutase small subunit,21.99099,21.86575,18.94571,21.23722,20.93619,21.70138,19.49575,20.04097,21.87893,21.57014,20.36649,20.35845,21.87537,21.04304,20.64806
GFJPDDAG_00073 Methylmalonyl-CoA mutase large subunit,21.66345,21.82823,21.01393,21.15584,20.66726,20.10082,22.57957,22.3456,23.14266,20.9475,19.80361,21.33599,22.62817,20.07333,21.90907
GFJPDDAG_00075 hypothetical protein,22.76172,22.3317,22.2526,21.60289,19.96834,21.67157,19.92099,19.57519,19.16585,21.99984,19.91088,20.64848,22.63848,21.50484,19.78743
GFJPDDAG_00076 Arginine-binding extracellular protein ArtP,21.71666,21.63781,21.45674,21.07409,20.67029,19.90078,21.29533,20.53683,20.06385,21.15885,20.75955,19.76706,22.9988,19.96187,20.06668
"GFJPDDAG_00080 Putative L,D-transpeptidase YkuD",20.54567,19.66112,20.95433,20.86869,20.28916,20.63605,21.41725,21.6158,22.40059,20.87322,21.45814,19.60923,22.2331,21.82029,19.20415
GFJPDDAG_00083 Methylmalonyl-CoA carboxyltransferase 12S subunit,23.92913,23.28912,23.35097,21.23751,19.82836,25.47856,19.3986,19.86826,19.92481,20.7159,19.2499,21.26557,22.29155,19.23739,21.85371
GFJPDDAG_00084 Peptidase T,23.56326,25.41564,23.00412,19.46555,21.39325,21.73597,20.48601,21.02967,19.41565,21.60059,21.05795,20.5761,22.89644,21.14111,20.41248
"GFJPDDAG_00087 6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating",24.95505,24.6679,24.46656,20.84011,20.63159,20.17599,19.17294,20.51716,20.47968,20.91416,19.80102,19.63946,20.91051,19.49017,21.86499
GFJPDDAG_00091 hypothetical protein,25.8536,24.15962,26.59106,26.15101,24.11997,24.6496,24.34591,24.68827,23.74929,25.31769,25.40224,25.62631,21.65345,19.0508,19.44482
GFJPDDAG_00092 NADH oxidase,21.66627,21.5589,20.5986,20.35044,20.57736,21.23456,19.90631,21.20212,20.37518,21.56627,20.29214,20.97134,21.40843,20.2029,21.74268
GFJPDDAG_00093 Kynurenine formamidase,19.19065,23.37756,17.74183,21.00241,20.96548,21.96973,20.56787,20.71376,18.97308,20.96181,19.86739,20.78009,21.58942,20.85145,20.45006
GFJPDDAG_00094 Glucose-6-phosphate 1-dehydrogenase,22.65172,22.91282,22.86691,21.32311,20.99769,20.2408,18.95765,20.29773,18.56748,21.28336,19.87021,21.17541,21.31549,21.39573,21.61312
GFJPDDAG_00098 NADPH dehydrogenase,22.77706,27.15952,22.04473,20.11454,19.98838,20.56252,20.63786,19.99866,19.93661,20.2951,19.93359,20.46448,23.21704,21.1777,20.96083
GFJPDDAG_00100 Pyrroline-5-carboxylate reductase,23.72598,26.06809,23.29656,20.89882,20.50774,22.31996,19.60396,21.35403,19.69375,21.202,20.25736,19.46259,21.84705,19.11311,22.61871
GFJPDDAG_00102 Putative oxidoreductase SadH,19.79152,19.58559,21.06914,20.08533,19.9419,19.96445,19.99486,21.52653,19.72377,21.26651,19.73684,20.51281,21.5732,20.4516,20.88252
GFJPDDAG_00105 Glucose 1-dehydrogenase 4,18.78853,20.37518,20.45111,21.12994,20.1528,21.05119,20.76715,20.74406,20.29884,20.15793,21.35127,21.10588,22.98393,20.09636,21.5478
GFJPDDAG_00108 hypothetical protein,20.01464,19.90248,19.05009,20.51835,20.69091,20.66346,20.43093,20.92416,20.38241,20.4327,20.76854,20.30458,23.06157,20.80011,19.70983
GFJPDDAG_00113 Hydroxymethylglutaryl-CoA lyase YngG,23.74212,24.9266,23.27199,21.18275,23.51773,24.12566,19.59807,20.81156,20.64667,24.10422,22.858,20.58794,21.85443,21.26959,21.44221
GFJPDDAG_00114 Acetyl-CoA acetyltransferase,24.91848,24.04685,23.59662,21.66361,22.17527,21.57301,19.5206,19.72484,20.41004,20.46321,23.29516,20.30943,22.85013,21.20535,20.6107
GFJPDDAG_00115 putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A,24.65305,24.98698,23.576,23.50676,23.29404,22.11218,20.40821,22.95186,22.84414,21.06241,24.05117,23.57715,22.9844,21.38948,21.74503
GFJPDDAG_00116 Succinyl-CoA:3-ketoacid coenzyme A transferase subunit B,23.58245,24.88869,22.91227,23.02384,23.59571,22.99747,22.18819,23.72848,22.38511,21.38062,23.40119,23.59514,20.75752,20.3911,20.84741
GFJPDDAG_00120 Methanol dehydrogenase activator,20.93754,20.06684,20.84652,19.79142,20.4468,20.52101,20.11372,21.28321,20.22551,19.60976,20.35222,19.98253,22.16416,21.07122,20.26939
GFJPDDAG_00121 Putative ribosomal N-acetyltransferase YdaF,19.99434,20.53393,19.93261,20.01934,21.09541,21.30656,19.9436,21.56421,19.25928,20.59005,19.66492,20.20547,22.48389,19.25439,21.07903
GFJPDDAG_00122 Stage II sporulation protein M,20.13034,19.74465,20.38752,20.19602,21.09246,20.04428,20.17744,21.6245,19.29415,20.81231,20.9072,21.31936,22.61895,19.99749,20.9647
GFJPDDAG_00123 Ferric uptake regulation protein,22.61464,23.76598,22.91357,20.93761,22.16394,21.06855,19.93071,20.671,19.65984,21.03461,19.50371,20.13544,23.04478,21.37338,19.78932
GFJPDDAG_00126 Phosphopentomutase,19.79273,19.72181,20.503,20.871,20.1326,21.07368,20.17052,20.87052,19.83624,20.02827,19.79164,20.66413,22.15906,18.99075,19.78839
GFJPDDAG_00127 Purine nucleoside phosphorylase 1,23.16898,22.14183,23.79551,20.7299,19.94655,20.73473,20.69628,19.86481,19.27848,20.42665,21.07078,20.26281,21.81463,19.49215,20.64996
GFJPDDAG_00128 Pyrimidine-nucleoside phosphorylase,22.80142,22.56999,23.2953,20.32043,20.77865,20.54614,20.27665,21.27134,20.20844,20.58293,20.66422,19.75721,22.38381,19.67872,20.93452
GFJPDDAG_00129 D-alanyl-D-alanine carboxypeptidase DacF,27.03444,23.77957,27.01648,24.43822,24.09836,24.58904,26.3106,26.94044,26.25267,22.28286,25.69006,25.49357,21.74422,20.41935,20.45683
GFJPDDAG_00130 Anti-sigma F factor antagonist,23.65709,22.09407,22.63365,21.03253,19.36649,21.62034,19.07049,20.6706,19.4131,20.43943,20.66803,20.48936,21.58821,21.45279,20.55723
GFJPDDAG_00131 Anti-sigma F factor,25.14196,23.37398,24.18782,20.55792,21.09669,21.4071,23.51617,21.35476,23.85167,21.13709,20.64505,20.2111,22.04712,21.58791,20.77342
GFJPDDAG_00132 RNA polymerase sigma-F factor,22.51237,21.08978,20.66553,20.99909,20.84215,20.60187,20.77146,21.21636,18.48352,20.21122,19.86627,20.72506,23.65619,19.75097,19.76286
GFJPDDAG_00145 Spore maturation protein A,19.70229,18.89989,18.52576,20.62562,21.19915,21.16195,20.03918,19.71379,19.3799,22.05019,20.53977,21.3641,21.77714,20.8374,20.97248
GFJPDDAG_00147 Ribosomal large subunit pseudouridine synthase B,19.36998,18.55592,18.70227,21.31462,20.38535,20.87816,19.98927,20.6118,20.23953,20.99028,19.23541,20.52861,23.00156,20.68475,21.76719
GFJPDDAG_00148 Thiol-disulfide oxidoreductase ResA,19.08717,20.64641,19.96378,20.25117,22.06756,21.54408,22.28416,20.78238,22.88332,20.80387,23.57762,22.69098,22.10862,20.47216,20.24876
GFJPDDAG_00149 Cytochrome c biogenesis protein CcsB,20.78853,18.58401,19.57374,20.61274,23.21488,22.70618,22.69207,22.94256,22.76148,21.01342,23.21678,23.07788,23.12352,19.36242,20.53606
GFJPDDAG_00150 Cytochrome c biogenesis protein CcsA,20.03983,18.5737,20.62225,22.01205,21.03901,21.06297,20.90211,21.2375,20.097,21.29217,22.44859,20.34003,22.1072,19.2139,20.69824
GFJPDDAG_00151 Transcriptional regulatory protein SrrA,21.29513,21.73802,20.87793,22.23281,21.06799,21.05901,19.7485,20.82432,19.88263,20.62901,19.60013,19.7774,23.17184,19.46397,20.37756
GFJPDDAG_00152 Sensor histidine kinase ResE,20.59272,18.52282,19.95677,21.25706,20.15728,21.76848,20.59057,21.76837,19.48734,20.96065,20.85271,20.27391,22.52669,20.6947,19.88664
GFJPDDAG_00165 putative manganese catalase,28.54757,27.71502,29.55225,28.85875,28.80885,28.18338,28.75611,28.82508,28.00024,28.03957,28.9303,28.37231,21.83728,21.25275,21.33089
GFJPDDAG_00166 hypothetical protein,22.87363,21.67896,24.34381,22.0868,20.94563,22.14563,21.84946,20.96665,21.42665,20.99593,21.78479,19.72253,22.08679,20.24117,20.07249
GFJPDDAG_00167 hypothetical protein,23.73076,22.74796,25.32089,23.9322,21.1235,24.34076,23.13691,19.56965,23.85586,20.5136,21.40824,19.91869,22.12424,21.59601,19.90683
GFJPDDAG_00168 hypothetical protein,25.92404,25.47277,24.8073,20.22999,21.30825,21.60928,20.23023,21.30675,20.36858,21.08297,21.07137,21.11521,23.17841,21.00204,20.5436
GFJPDDAG_00171 HTH-type transcriptional repressor CarH,20.55506,20.93344,19.82832,21.34527,19.87034,21.00134,21.79154,20.72298,20.43473,20.77094,20.35081,20.31378,21.02886,20.85111,20.95712
GFJPDDAG_00173 Cryptic catabolic NAD-specific glutamate dehydrogenase GudB,22.03429,22.5519,21.78939,22.10368,20.9407,20.6071,19.25233,20.2275,19.40803,20.00358,18.93745,20.51306,21.17706,20.82834,20.59501
GFJPDDAG_00175 L-asparaginase 2,20.99458,20.84061,19.73663,20.71547,20.2463,20.92178,19.85535,20.62877,19.58803,21.18765,20.2895,19.80524,21.70763,21.36795,21.21233
GFJPDDAG_00178 Spore cortex-lytic enzyme,24.17219,22.86446,25.82529,20.40703,24.48806,21.07578,24.83596,24.35219,23.86127,24.43231,24.55842,23.92551,20.84432,20.91047,21.50367
GFJPDDAG_00179 Sporulation protein YpeB,23.67756,19.92511,25.61995,20.94985,24.42803,20.94668,23.34706,22.9958,22.96437,22.29064,25.02344,24.42272,21.52526,19.27607,20.87484
GFJPDDAG_00182 Cytidylate kinase,21.19454,22.35735,22.5495,19.17523,21.48419,21.3103,20.40951,20.7763,19.72439,19.9628,24.03666,21.25884,21.13138,21.06568,20.43409
GFJPDDAG_00183 1-acyl-sn-glycerol-3-phosphate acyltransferase,20.8498,21.03456,20.21371,22.36467,20.62717,20.39981,21.00779,20.5053,19.82281,20.94347,19.58629,20.22537,22.77773,20.83348,20.3383
GFJPDDAG_00184 30S ribosomal protein S1,27.61947,28.2445,26.93157,20.45994,20.48915,20.12187,20.30136,19.97771,19.5521,20.82385,20.18713,20.04674,21.7293,20.75198,20.24196
GFJPDDAG_00185 Isopentenyl-diphosphate delta-isomerase,18.83461,19.78417,19.60989,20.56275,20.58771,20.33,19.58408,20.22784,20.04317,20.6559,19.31119,20.51753,23.1003,19.37653,21.27384
GFJPDDAG_00188 hypothetical protein,19.43031,18.50026,20.11384,21.66326,20.38754,20.87403,20.41219,19.97762,20.55647,21.40042,19.90421,20.20902,21.63765,19.67292,20.63505
GFJPDDAG_00190 GTPase Der,23.5451,23.89883,23.59035,20.99712,23.02391,20.61895,24.03699,19.76742,24.31306,20.18626,23.02185,20.35104,22.68822,20.87455,22.0035
GFJPDDAG_00191 Glycerol-3-phosphate dehydrogenase [NAD(P)+],23.26471,23.54663,23.2111,21.16241,19.10365,21.8536,20.1683,21.06243,18.96596,20.9187,19.395,20.19469,22.08312,21.34053,20.73267
GFJPDDAG_00194 Stage IV sporulation protein A,26.2298,24.96644,26.85852,25.9508,26.62673,25.54351,28.70256,28.29206,28.76383,24.85048,26.50658,26.46784,21.9523,21.15948,20.33283
GFJPDDAG_00195 DNA-binding protein HU 1,27.1831,26.96983,28.06553,27.36903,27.85323,27.30304,28.68398,27.99118,28.61091,27.01892,28.01988,27.54208,22.96396,20.443,20.43572
GFJPDDAG_00197 Transcription attenuation protein MtrB,20.77096,21.73818,21.08063,20.38083,20.16381,21.07413,19.26289,20.55971,21.00154,21.02672,19.92655,20.52417,22.22282,19.382,21.84316
GFJPDDAG_00201 Nucleoside diphosphate kinase,24.4438,25.01423,24.06817,21.91039,23.49546,20.89449,22.41944,23.98598,22.96895,23.98537,22.97418,23.27028,22.76478,20.42015,20.74187
GFJPDDAG_00203 Chorismate synthase,24.43517,25.19077,23.41054,25.37683,22.72648,25.56996,19.79669,21.62855,19.18713,25.15503,19.30395,20.64005,21.86287,21.81849,21.05429
GFJPDDAG_00204 3-dehydroquinate synthase,23.19681,23.21352,22.85477,21.15027,20.96631,20.4883,19.32172,20.73259,20.19917,21.06524,18.77681,20.21107,21.80934,19.3487,19.54173
GFJPDDAG_00205 Chorismate mutase AroH,19.38762,19.90428,19.29901,21.34912,21.17556,21.29502,19.78819,19.69718,19.52503,21.51672,18.915,21.67124,22.29473,20.30771,20.18464
GFJPDDAG_00206 Histidinol-phosphate aminotransferase,24.45268,24.90706,24.29271,20.59929,19.64376,21.78047,20.73747,20.25226,20.51186,21.96251,21.009,20.9517,22.75769,20.73404,20.29334
GFJPDDAG_00207 Prephenate dehydrogenase,18.93053,21.67951,19.62771,21.58265,20.22692,20.08772,20.1876,22.14791,19.47859,21.26969,21.03072,19.35509,21.73746,20.37769,21.15378
GFJPDDAG_00208 3-phosphoshikimate 1-carboxyvinyltransferase 1,23.70271,25.31268,22.84399,21.85256,20.77262,20.77659,20.46024,20.23437,20.53089,21.26459,19.38745,20.96747,21.72975,20.68693,20.15257
GFJPDDAG_00210 Beta-barrel assembly-enhancing protease,22.77423,23.391,22.8502,20.64093,21.50953,21.65286,20.36098,21.2044,19.08297,19.82424,20.75308,19.73514,22.34249,21.47962,20.22588
GFJPDDAG_00212 hypothetical protein,22.0628,22.50446,22.1121,21.31761,20.45,20.75862,20.50434,20.70599,19.08894,19.88132,19.39441,20.19415,20.98355,21.28732,20.09085
GFJPDDAG_00213 Cytochrome b6-f complex iron-sulfur subunit,24.52438,24.70657,24.65976,26.33952,26.28685,26.342,25.72697,24.7348,25.80067,27.18262,26.10721,26.3243,21.60831,20.89421,20.20914
GFJPDDAG_00214 Menaquinol-cytochrome c reductase cytochrome b subunit,25.89899,25.90359,26.41538,27.03475,27.00528,26.6811,26.68992,26.30454,25.8899,27.08841,27.48669,27.10029,22.13321,21.10856,20.97012
GFJPDDAG_00215 Cytochrome c-551,24.8446,25.32464,25.5854,26.55422,27.19835,26.15821,27.38558,26.50569,26.96036,26.4009,27.17769,26.8629,24.12392,20.30793,21.28439
GFJPDDAG_00218 hypothetical protein,19.08959,20.28753,18.96624,20.87226,21.65835,21.06926,19.4895,20.70132,19.41847,20.93034,20.06075,22.97726,22.15877,20.38288,21.67798
GFJPDDAG_00221 4-hydroxy-tetrahydrodipicolinate reductase,20.37956,18.52538,19.09419,21.04666,20.35218,21.18324,19.38224,19.87309,19.26173,20.46397,20.79205,21.13242,22.59351,21.33387,20.19739
GFJPDDAG_00222 Methylglyoxal synthase,20.05951,19.1503,18.5378,20.36133,20.03365,20.53326,20.59222,20.07254,19.79902,20.795,20.13452,20.56299,22.84754,19.29238,20.09686
GFJPDDAG_00226 Bifunctional ligase/repressor BirA,20.97772,19.45667,18.66633,21.87432,19.52219,20.60022,20.68935,20.63904,20.37699,20.16253,20.33812,21.35868,20.83613,20.30202,20.19099
GFJPDDAG_00227 3-methyl-2-oxobutanoate hydroxymethyltransferase,23.90949,24.24082,23.3581,21.36595,21.3069,21.24415,20.74133,20.33741,19.91342,20.3315,19.09984,20.26099,21.11687,22.41982,20.32993
GFJPDDAG_00228 Pantothenate synthetase,22.0651,22.6143,19.48206,21.67715,20.70037,20.43761,20.37844,19.61792,20.17608,19.71937,18.48244,20.39687,21.77627,20.95838,20.52254
GFJPDDAG_00234 Aspartate aminotransferase,23.87661,24.68517,23.29754,20.81163,21.27095,21.15622,21.54647,19.64401,20.36724,21.90841,19.89938,21.71729,21.95425,19.98981,20.28664
GFJPDDAG_00235 Asparagine--tRNA ligase,23.75837,25.13352,23.61941,21.80215,20.66823,20.92866,23.39545,20.97625,23.99869,19.72195,22.88956,20.98939,23.38773,20.35908,21.09474
GFJPDDAG_00238 Penicillin-binding protein 1A/1B,26.02521,24.89449,26.62296,25.16546,25.94376,24.73029,26.08558,26.63132,26.05366,25.84225,26.58678,26.07621,22.21511,20.69007,21.2016
GFJPDDAG_00247 DEAD-box ATP-dependent RNA helicase CshE,19.89057,20.24574,19.37446,20.31718,20.51125,20.00269,19.99716,20.97547,19.69198,20.39237,20.33713,20.59687,22.78116,20.23092,20.1464
GFJPDDAG_00249 hypothetical protein,27.3506,25.91755,28.55538,27.25683,25.91125,26.48269,27.85091,28.02733,28.777,27.62554,27.97755,27.1756,21.95574,20.9531,19.66129
GFJPDDAG_00251 Cell cycle protein GpsB,18.79576,20.883,19.14368,21.80823,19.98555,20.4012,19.87701,22.93894,19.84425,21.05496,21.4139,20.17581,22.1498,21.88465,21.78677
GFJPDDAG_00252 Ribosomal RNA large subunit methyltransferase K/L,22.65176,23.14748,22.87002,21.6388,21.83735,20.75972,19.21674,20.08282,19.96846,21.27232,19.28127,20.8151,21.01092,21.47935,22.10163
GFJPDDAG_00255 Carboxypeptidase 1,22.40239,22.81495,22.28819,21.25877,20.70299,21.43671,22.73457,20.37116,22.44182,20.94645,22.45312,20.74066,21.71428,19.38784,19.89419
GFJPDDAG_00257 Cytochrome c oxidase subunit 1,22.54168,19.05601,22.30625,20.63932,21.08034,20.49386,20.93776,20.34311,20.14361,20.59743,20.59994,20.4341,21.42008,19.97848,21.013
GFJPDDAG_00258 Cytochrome c oxidase subunit 2,18.99192,20.30373,19.38955,19.59828,23.8375,20.86509,22.80108,20.62038,22.49838,20.8114,23.39428,23.74981,21.852,19.63299,20.91218
GFJPDDAG_00261 Gluconate 5-dehydrogenase,18.78603,19.14587,20.33835,20.96776,19.61895,21.13704,20.46299,20.25435,19.72975,20.64279,20.47068,20.16305,23.7109,20.14923,21.00494
GFJPDDAG_00267 3-mercaptopyruvate sulfurtransferase,21.31828,18.81112,19.3858,20.35703,21.057,20.95536,19.42682,20.4404,18.87637,20.24704,20.2186,20.7367,21.39158,20.8091,20.1022
GFJPDDAG_00268 5-3 exonuclease,18.64286,19.40625,20.69931,21.49993,20.65916,21.22571,19.55264,20.63331,19.01061,20.48737,20.63272,20.40125,22.48429,20.84641,20.55692
GFJPDDAG_00276 Cold shock protein CspB,23.57589,23.70049,24.76035,23.58852,24.53913,24.13383,24.68132,25.47482,25.07916,23.48849,24.70049,24.3105,23.19493,19.66571,20.76661
GFJPDDAG_00277 Transcriptional regulator MntR,20.44889,21.37247,19.36565,19.85859,20.4498,21.19194,20.12308,20.21566,19.38509,21.29969,20.80222,21.4285,22.21912,20.68466,20.46525
GFJPDDAG_00283 hypothetical protein,20.13417,20.24203,17.53595,20.65606,20.24299,20.66387,19.91362,20.4134,19.35567,21.45831,18.86049,20.39948,21.6156,20.06256,19.03518
GFJPDDAG_00284 DegV domain-containing protein,20.0689,17.95794,21.96038,19.62858,20.55695,21.76757,19.90984,20.50902,20.92304,20.07255,20.80184,21.81418,21.99302,19.47149,19.64416
GFJPDDAG_00287 Energy-dependent translational throttle protein EttA,19.28491,20.22235,19.73359,19.68177,19.86527,20.93656,19.77121,21.24178,18.344,21.18812,20.46557,20.64249,22.2818,19.65629,21.0361
GFJPDDAG_00288 hypothetical protein,24.14507,23.77304,23.4768,20.98347,20.76428,21.26174,20.21249,21.61688,19.52151,20.84563,20.34332,19.57105,21.93728,20.22291,21.56049
GFJPDDAG_00293 Thymidylate synthase 2,21.76587,22.71209,21.26207,21.4687,19.79322,20.88043,18.94394,19.74565,19.50274,19.92035,19.57148,20.04053,21.4488,20.53716,20.62982
GFJPDDAG_00299 DegV domain-containing protein,22.84655,23.79571,22.26459,19.98419,20.43103,20.55656,20.56864,20.52077,19.97161,20.32676,20.52575,19.24321,21.43811,20.15326,20.31001
GFJPDDAG_00301 Pyrimidine-specific ribonucleoside hydrolase RihA,23.40145,22.01811,24.18321,21.38159,23.14527,21.54893,23.95819,23.58348,23.49984,21.54664,24.20799,24.01146,22.21837,19.46272,20.0976
GFJPDDAG_00303 hypothetical protein,19.17188,21.80927,19.18351,21.08385,19.9908,21.70337,18.4303,20.23188,20.0352,20.81448,20.46252,20.33552,22.08968,20.68709,21.07013
GFJPDDAG_00304 hypothetical protein,26.10199,25.28196,26.84757,27.06487,27.2128,27.22444,27.53497,28.19202,27.95649,27.19582,27.88221,27.52828,22.12647,20.05047,20.5975
GFJPDDAG_00306 Peptide methionine sulfoxide reductase MsrA,21.72042,19.39713,20.99555,20.73569,20.87938,22.32718,19.22712,19.96581,20.32335,20.19143,21.07721,21.42506,22.35756,19.57322,20.77616
GFJPDDAG_00307 Peptide methionine sulfoxide reductase MsrB,21.43675,19.46792,19.24518,21.67583,20.25234,21.00906,20.19957,20.37035,20.2608,20.68551,20.42937,21.09718,22.72577,19.98234,20.91443
GFJPDDAG_00308 PTS system glucose-specific EIIA component,24.63356,23.97919,24.08115,21.19839,20.20738,20.33848,19.70284,22.85833,19.24918,20.89601,22.36893,19.83834,22.19905,20.73122,21.36333
GFJPDDAG_00311 Methyl-accepting chemotaxis protein McpB,18.97798,19.16403,19.11603,20.75561,20.43006,20.8428,21.83561,21.3726,21.57344,20.20681,20.57067,20.13682,22.00122,20.19657,19.60871
"GFJPDDAG_00317 L-lysine 2,3-aminomutase",23.67465,23.35434,23.21913,20.85163,19.85639,21.13403,24.45989,21.07047,24.89087,20.96878,22.23029,20.76228,21.69437,20.30926,21.1917
GFJPDDAG_00324 Sporulation-control protein spo0M,21.6163,21.30034,20.69407,20.35415,20.02737,21.17238,20.35818,20.34499,18.94501,20.03862,19.45248,20.8816,22.70898,18.60396,21.3158
