Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET
DMKJLJHC_00475 putative ABC transporter-binding protein,-12.31844,-13.11441,-12.46519,-13.52872,-13.50734,-12.62381,-12.62086,-12.77497,-13.11235,-13.84449,-14.11744,-13.53418
"DMKJLJHC_00494 Oligoendopeptidase F, plasmid",-10.19135,-10.36489,-10.01499,-12.45438,-13.01399,-12.64435,-13.16796,-13.26684,-14.46718,-14.86309,-13.68964,-13.414
DMKJLJHC_00513 Aromatic-amino-acid aminotransferase,-8.995144,-9.064582,-9.128401,-10.3364,-9.858252,-10.03545,-9.361514,-9.185206,-9.577979,-10.9051,-10.29108,-9.445852
DMKJLJHC_00524 Membrane-bound lytic murein transglycosylase B,-10.77809,-12.51314,-12.54023,-12.88625,-13.29496,-14.4443,-14.33606,-14.04807,-13.88058,-15.68398,-14.03821,-14.50705
DMKJLJHC_00533 hypothetical protein,-9.662814,-10.20876,-10.00762,-11.16232,-10.10849,-10.14975,-10.1431,-10.05216,-10.22414,-10.66404,-10.30796,-9.883337
DMKJLJHC_00541 Lipoprotein E,-10.52182,-9.94238,-13.84202,-8.042369,-7.865057,-7.315564,-8.699674,-8.035656,-8.605204,-9.270284,-9.197316,-8.723831
DMKJLJHC_00550 hypothetical protein,-13.77969,-13.05624,-14.07896,-9.038593,-8.84725,-9.475182,-13.21739,-13.28391,-14.00773,-15.67198,-14.10344,-13.9314
DMKJLJHC_00551 hypothetical protein,-9.80171,-12.96482,-13.19207,-10.14574,-9.673988,-9.681344,-14.31183,-10.01699,-14.40792,-10.87792,-13.93971,-13.57603
DMKJLJHC_00562 Argininosuccinate synthase,-10.66646,-11.55805,-11.28108,-12.69372,-12.53162,-14.03015,-14.09373,-12.8041,-13.71543,-14.41626,-13.60703,-14.45913
DMKJLJHC_00568 Transcription termination/antitermination protein NusA,-13.42827,-11.98278,-13.97535,-12.34686,-13.60335,-13.17368,-14.14561,-14.1455,-14.58141,-13.88695,-14.29917,-13.67272
DMKJLJHC_00574 putative parvulin-type peptidyl-prolyl cis-trans isomerase,-11.38918,-12.41433,-13.28131,-13.44241,-14.78198,-14.50758,-13.19026,-14.59913,-15.26738,-13.73726,-13.24559,-13.5298
DMKJLJHC_00575 Protein translocase subunit SecA,-12.85974,-13.1568,-13.41305,-12.65348,-14.07226,-14.17631,-14.17469,-12.48119,-14.85901,-14.36127,-13.44556,-14.56366
DMKJLJHC_00579 Chaperone protein DnaK,-11.00846,-10.78444,-10.62869,-13.2643,-14.90961,-14.54306,-14.60234,-13.19326,-12.82816,-14.73378,-13.97394,-13.43125
DMKJLJHC_00585 AMP nucleosidase,-12.31491,-13.26453,-12.02969,-12.95241,-13.64478,-14.23862,-14.05003,-12.987,-13.81798,-13.58731,-14.68107,-13.73004
DMKJLJHC_00588 Membrane-bound lytic murein transglycosylase B,-5.718902,-5.767764,-5.680565,-8.485246,-8.152749,-7.624439,-9.493587,-8.344748,-9.269236,-8.115773,-9.445127,-8.323463
"DMKJLJHC_00591 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",-13.98997,-10.81886,-10.43874,-13.40452,-13.99111,-13.04687,-14.27608,-13.32644,-12.57562,-14.43034,-12.17317,-13.75395
DMKJLJHC_00596 hypothetical protein,-10.98606,-10.62324,-12.62487,-10.36767,-9.870481,-9.039357,-15.07682,-9.147039,-9.418892,-10.30088,-10.5209,-10.03416
DMKJLJHC_00601 Flagellin,-4.435058,-4.882693,-5.249403,-5.517795,-5.5165,-5.889832,-4.970936,-5.185969,-4.932058,-6.201621,-6.115732,-5.417847
DMKJLJHC_00610 30S ribosomal protein S20,-11.12777,-12.82095,-12.49517,-12.95189,-14.06118,-13.57379,-13.77298,-14.12965,-13.29544,-12.98087,-13.30807,-13.02443
DMKJLJHC_00646 hypothetical protein,-11.64779,-13.08595,-13.66653,-13.25384,-13.59174,-13.69045,-14.2813,-14.03573,-13.60938,-14.39048,-13.07467,-13.81542
DMKJLJHC_00667 Xylulose kinase,-11.85831,-13.60077,-11.56769,-12.57696,-14.28172,-13.91669,-14.01814,-14.99063,-14.62425,-14.02182,-13.73982,-14.00653
DMKJLJHC_00670 Translocation and assembly module TamB,-13.08316,-12.5652,-12.24962,-13.45971,-13.3365,-12.75088,-14.36472,-13.49986,-14.14664,-13.85251,-13.13663,-14.38694
DMKJLJHC_00671 Translocation and assembly module TamA,-12.55637,-12.62921,-12.94811,-13.35441,-13.92429,-12.5215,-13.19456,-12.43496,-14.5121,-15.08273,-13.6342,-13.21937
DMKJLJHC_00672 Protein-export protein SecB,-15.15126,-12.36562,-14.16589,-12.90254,-15.19963,-12.91279,-13.66103,-13.57124,-14.70836,-14.19181,-13.44009,-13.53301
DMKJLJHC_00678 ATP-dependent protease ATPase subunit HslU,-12.18817,-12.51161,-13.61771,-13.05455,-14.50443,-13.52516,-14.02084,-14.84376,-13.51998,-13.94925,-14.56617,-13.14447
DMKJLJHC_00682 Thioredoxin,-14.72133,-12.21625,-12.94182,-13.75625,-13.01801,-13.08295,-11.60164,-13.1285,-13.56759,-14.55437,-14.01175,-14.60114
DMKJLJHC_00695 Adenosylhomocysteinase,-14.97141,-11.03848,-12.84603,-12.77176,-13.72927,-14.31525,-13.6758,-14.27546,-13.54412,-14.67094,-13.52194,-15.39186
DMKJLJHC_00699 hypothetical protein,-8.564865,-8.918095,-8.885738,-10.96471,-10.49633,-10.14926,-9.785908,-9.900957,-10.39439,-11.17041,-11.31565,-11.20429
DMKJLJHC_00700 Metalloprotease PmbA,-10.72093,-10.38075,-11.38086,-11.98835,-14.0588,-14.01928,-14.44629,-12.81673,-14.43218,-14.6931,-14.24809,-13.46291
DMKJLJHC_00714 Flagellar hook protein FlgE,-10.20407,-11.6331,-11.45404,-14.05183,-12.74624,-12.66473,-12.11158,-13.66743,-12.6994,-15.1496,-13.21502,-12.22404
DMKJLJHC_00730 hypothetical protein,-12.47763,-13.12424,-12.89947,-12.95773,-14.45812,-14.95416,-14.59007,-14.0807,-14.30254,-14.02186,-13.93922,-13.42878
DMKJLJHC_00733 Lipopolysaccharide assembly protein B,-14.41753,-13.45959,-14.37642,-12.58095,-14.15867,-12.98428,-13.29771,-14.58544,-14.64292,-14.55201,-13.61355,-13.95876
DMKJLJHC_00740 Phosphate-binding protein PstS,-8.763489,-8.457419,-7.679482,-6.775987,-6.379134,-6.794566,-7.714145,-7.006363,-7.32064,-7.548226,-7.28562,-6.695108
DMKJLJHC_00769 putative CtpA-like serine protease;DMKJLJHC_06527 putative CtpA-like serine protease,-10.57649,-11.56865,-11.67917,-13.25177,-13.86702,-13.42638,-13.33133,-13.17185,-13.04974,-14.78788,-14.40602,-12.77028
"DMKJLJHC_00771 2,3-bisphosphoglycerate-independent phosphoglycerate mutase",-12.56315,-12.7421,-12.66522,-12.65888,-13.56122,-13.297,-14.21535,-13.30037,-14.42971,-14.49313,-12.92853,-13.83186
DMKJLJHC_00781 3-isopropylmalate dehydrogenase,-8.217574,-9.039367,-8.536163,-14.13091,-12.82639,-11.69938,-13.18024,-13.5034,-15.2147,-15.02436,-13.23853,-12.40269
DMKJLJHC_00823 hypothetical protein,-14.2127,-8.495522,-13.37565,-13.20819,-13.82875,-13.95135,-14.07142,-13.62788,-14.79376,-14.94543,-13.21449,-14.51391
DMKJLJHC_00836 C4-dicarboxylate-binding periplasmic protein DctP,-8.643747,-8.546403,-9.490263,-9.310233,-8.147618,-7.230478,-8.20889,-7.983181,-8.270403,-8.188145,-7.98691,-7.306458
DMKJLJHC_00842 hypothetical protein,-11.05548,-9.948406,-10.65309,-12.25937,-13.89615,-9.47884,-14.60648,-14.3332,-13.70866,-14.88225,-13.77833,-14.76061
DMKJLJHC_00892 hypothetical protein,-5.977564,-6.26593,-5.30649,-6.814062,-6.714151,-7.057026,-8.142767,-7.358103,-7.58496,-8.620686,-7.89196,-7.367897
DMKJLJHC_00899 DNA ligase,-14.90105,-12.73378,-12.5249,-12.81818,-13.072,-12.65977,-15.34907,-13.99536,-14.22516,-14.19216,-13.07987,-14.27008
DMKJLJHC_00946 Multiple sugar-binding protein,-8.628248,-9.340698,-9.469745,-9.253254,-8.257111,-7.283559,-8.268753,-7.835221,-8.263226,-8.688358,-8.879001,-8.416473
DMKJLJHC_00973 Catalase,-14.34944,-12.91608,-12.88767,-13.47884,-13.75098,-13.02434,-14.07353,-13.56291,-14.24397,-14.45922,-13.52007,-14.24039
DMKJLJHC_00981 hypothetical protein,-14.99531,-12.54467,-12.25386,-13.75127,-14.53454,-14.30156,-14.09195,-13.25934,-12.65062,-14.82594,-12.963,-14.13317
DMKJLJHC_00988 Outer membrane protein assembly factor BamA,-9.911794,-9.50965,-9.432428,-12.12332,-10.58706,-11.04765,-11.06138,-10.50748,-11.24954,-11.36475,-11.48636,-10.98128
DMKJLJHC_00999 Acetaldehyde dehydrogenase 2,-11.10797,-10.63678,-10.78853,-12.81789,-14.27397,-12.06105,-12.50717,-12.42215,-13.56158,-13.35536,-13.13391,-12.57604
DMKJLJHC_01000 Peptidyl-prolyl cis-trans isomerase A,-10.05326,-9.522378,-12.55202,-9.464951,-8.829845,-8.136258,-8.815627,-8.270848,-8.978559,-8.825649,-9.401687,-8.405625
DMKJLJHC_01002 Phosphoglycerate kinase,-13.75371,-11.18868,-14.18481,-13.24443,-14.28274,-13.34461,-14.00167,-13.35687,-14.53793,-13.95954,-14.06355,-14.44158
DMKJLJHC_01004 Thermostable carboxypeptidase 1,-11.86856,-13.13064,-13.11196,-13.19642,-15.39432,-12.74328,-13.45268,-13.35183,-14.20275,-12.95239,-14.65538,-13.54753
DMKJLJHC_01011 hypothetical protein,-6.233242,-6.443225,-6.381138,-7.290748,-5.892779,-5.071107,-5.444232,-5.137407,-5.206202,-6.010623,-6.568199,-6.122455
DMKJLJHC_01031 Alanine--tRNA ligase,-13.36618,-12.13509,-12.98459,-13.6139,-14.82624,-14.668,-13.66789,-14.43053,-14.66954,-15.34055,-13.36002,-14.42188
DMKJLJHC_01047 Inosine-5-monophosphate dehydrogenase,-10.41054,-10.47326,-10.67279,-13.08885,-13.47705,-13.14266,-14.18142,-13.67514,-14.36541,-14.51526,-12.27847,-14.36133
DMKJLJHC_01050 hypothetical protein,-5.645651,-5.683308,-5.484434,-7.844626,-6.775478,-6.402514,-6.801443,-6.465771,-6.728851,-7.721056,-8.153045,-7.394705
DMKJLJHC_01057 hypothetical protein,-14.74793,-13.13755,-12.51207,-13.6303,-13.96723,-13.39772,-13.34948,-13.94133,-14.6159,-14.69984,-12.83865,-10.60778
DMKJLJHC_01088 Aminopeptidase T,-10.20713,-10.46019,-10.21886,-14.49811,-14.83173,-12.52835,-10.52894,-10.5169,-10.74453,-13.95365,-14.20503,-14.49013
DMKJLJHC_01092 D-xylose-binding periplasmic protein,-9.926246,-9.397012,-9.515217,-8.979734,-8.092486,-6.878886,-8.288219,-7.613112,-8.096783,-8.056199,-8.302921,-7.486097
DMKJLJHC_01095 Xylose isomerase,-10.10348,-12.30798,-13.40685,-13.52769,-14.55522,-11.5138,-14.41802,-11.71241,-12.96599,-15.11923,-13.22085,-15.06465
DMKJLJHC_01097 3-oxoacyl-[acyl-carrier-protein] reductase FabG,-12.23122,-13.59319,-13.23577,-12.5145,-15.17961,-12.53274,-14.99753,-13.94936,-13.90132,-14.86571,-14.02023,-13.06883
DMKJLJHC_01120 L-cystine-binding protein FliY,-8.046842,-8.140917,-8.001235,-9.622455,-8.820622,-6.611376,-8.376422,-7.952518,-8.81472,-7.071409,-7.803683,-6.847332
DMKJLJHC_01129 hypothetical protein,-9.10568,-10.15837,-9.933204,-12.61759,-10.40706,-10.5198,-12.06054,-11.33957,-11.47019,-11.18341,-10.75098,-10.30781
DMKJLJHC_01188 putative arabinose-binding protein,-8.972297,-9.180072,-10.04535,-12.35482,-10.05566,-8.020857,-9.922892,-9.764579,-10.22965,-8.706145,-9.954597,-9.176708
DMKJLJHC_01201 hypothetical protein,-12.69178,-12.47812,-13.24908,-12.91592,-14.14356,-13.89727,-14.35011,-15.20168,-15.40863,-14.1313,-13.47962,-14.41195
DMKJLJHC_01203 hypothetical protein,-11.21259,-11.22998,-13.25042,-12.5932,-12.08351,-11.79492,-14.41105,-13.43946,-12.02666,-16.00059,-12.63892,-13.77869
DMKJLJHC_01261 Trk system potassium uptake protein TrkA,-14.40318,-11.85835,-12.99424,-12.79769,-13.65238,-14.04757,-14.05498,-14.14796,-15.12534,-14.47985,-13.85706,-14.8018
DMKJLJHC_01278 Fumarate hydratase class II,-14.3237,-13.48857,-13.67324,-13.49133,-12.78444,-13.97274,-13.69477,-14.00414,-14.448,-11.93433,-13.07941,-13.3979
DMKJLJHC_01286 Cysteine synthase,-14.64466,-13.74777,-12.91481,-12.91513,-12.89196,-13.7914,-13.85458,-12.84871,-14.54441,-13.2063,-13.87638,-15.43748
DMKJLJHC_01294 Leu/Ile/Val-binding protein,-6.581886,-5.986012,-6.703659,-5.476755,-4.805667,-4.112911,-4.061492,-3.798344,-3.970683,-4.963282,-5.10876,-4.687683
DMKJLJHC_01296 Phospho-2-dehydro-3-deoxyheptonate aldolase;DMKJLJHC_06282 Phospho-2-dehydro-3-deoxyheptonate aldolase,-12.89438,-12.05898,-12.80536,-12.73723,-13.63895,-12.25414,-13.28196,-13.18332,-14.40763,-13.18711,-13.32616,-14.82182
"DMKJLJHC_01297 Oligo-1,6-glucosidase",-10.74052,-10.67768,-11.13299,-13.32941,-14.57822,-12.21256,-11.50136,-11.37495,-11.75771,-14.15551,-13.64811,-13.7876
DMKJLJHC_01309 Elongation factor Ts,-13.64972,-13.03493,-12.2627,-12.96647,-13.63007,-12.48601,-13.87266,-13.39624,-13.21316,-14.55207,-13.29736,-13.86136
DMKJLJHC_01321 Oligopeptide-binding protein AppA,-14.03952,-12.59404,-14.5483,-13.26548,-15.42765,-13.96733,-15.2951,-13.79084,-15.2802,-14.46599,-13.33786,-13.31448
DMKJLJHC_01328 Sensor protein kinase WalK,-15.08179,-13.43577,-13.3854,-13.10583,-14.89707,-12.65794,-13.9346,-12.13753,-14.41795,-13.52221,-13.56166,-13.7695
DMKJLJHC_01353 Periplasmic dipeptide transport protein,-5.207342,-4.810823,-5.051688,-5.595017,-4.834583,-4.355002,-4.825165,-4.826562,-5.103933,-5.21847,-5.511201,-4.960577
DMKJLJHC_01364 FeS cluster assembly protein SufB,-13.40011,-12.29259,-12.47679,-12.72872,-13.61017,-14.26629,-12.5636,-13.16764,-14.41658,-14.3389,-13.91798,-14.27632
DMKJLJHC_01370 Isocitrate dehydrogenase [NADP],-10.29611,-10.16372,-10.61159,-13.40488,-13.07241,-14.14259,-14.27729,-13.66999,-13.90889,-14.3629,-13.0406,-14.14278
DMKJLJHC_01398 Prephenate dehydrogenase,-13.94007,-13.1373,-13.26619,-12.2629,-14.1522,-14.30674,-12.59077,-12.92297,-12.9145,-12.43627,-12.83202,-14.17272
DMKJLJHC_01400 30S ribosomal protein S4,-10.74962,-12.57829,-13.34287,-13.65387,-13.76861,-11.97958,-14.05921,-13.59717,-14.90641,-13.20838,-13.67136,-14.40244
DMKJLJHC_01406 3-oxoacyl-[acyl-carrier-protein] synthase 1,-10.37952,-10.46634,-11.00644,-12.28551,-12.65878,-12.04783,-11.00904,-11.08699,-11.72606,-15.03561,-12.32923,-12.49617
DMKJLJHC_01436 Ketol-acid reductoisomerase (NADP(+)),-9.22823,-10.12872,-10.06519,-12.73918,-14.05693,-14.38488,-11.92777,-13.33499,-13.76611,-13.64389,-12.4287,-13.76517
DMKJLJHC_01446 hypothetical protein,-14.55044,-12.91807,-13.33562,-12.45738,-16.9996,-13.11323,-15.00298,-12.67794,-13.77262,-13.9109,-14.55775,-14.80376
DMKJLJHC_01448 2-oxoglutarate carboxylase small subunit,-14.47395,-13.18134,-13.30393,-12.96871,-14.79254,-12.16239,-13.59589,-13.35854,-12.99607,-13.59538,-12.67481,-14.18396
DMKJLJHC_01451 Adenylosuccinate synthetase,-10.22639,-10.5221,-11.31807,-12.74033,-14.1411,-14.03898,-13.48752,-15.08822,-14.61843,-14.01701,-14.30021,-14.63516
DMKJLJHC_01459 Putative thiamine biosynthesis protein,-10.78556,-13.11066,-12.717,-12.8775,-9.661359,-8.540856,-10.02113,-9.200027,-9.882137,-9.696869,-10.10039,-9.201303
DMKJLJHC_01464 D-hydantoinase/dihydropyrimidinase;DMKJLJHC_06581 D-hydantoinase/dihydropyrimidinase,-15.00876,-12.49215,-13.49419,-13.23187,-13.05166,-11.37529,-11.23684,-11.05839,-14.15635,-12.38875,-12.07885,-14.19283
DMKJLJHC_01465 N-carbamoyl-L-amino acid hydrolase,-12.98438,-12.19368,-12.95083,-13.49621,-14.13552,-14.26553,-13.69565,-13.79085,-14.05541,-14.2107,-13.45742,-14.31007
DMKJLJHC_01468 Putative ring-cleaving dioxygenase MhqA,-14.25184,-12.60128,-13.9175,-13.02058,-13.25432,-13.6509,-14.51883,-13.35486,-14.23449,-15.13342,-14.66372,-15.36324
DMKJLJHC_01469 Beta-alanine--pyruvate aminotransferase,-10.30647,-11.81561,-13.99672,-13.45338,-14.58158,-12.44037,-14.06111,-13.57318,-13.33259,-14.17736,-12.8868,-14.09186
DMKJLJHC_01475 Biotin carboxylase,-11.40254,-13.70807,-13.78226,-13.9962,-14.16792,-12.18734,-13.8398,-14.04856,-14.14343,-14.54166,-12.83918,-13.51982
DMKJLJHC_01515 Proline--tRNA ligase,-11.7194,-11.79942,-12.79006,-12.75409,-14.01379,-14.69143,-14.52855,-13.77917,-13.74668,-13.02915,-12.5653,-13.87125
DMKJLJHC_01537 Glycine betaine-binding protein OpuAC,-9.607342,-9.220845,-8.964406,-8.679358,-7.929474,-7.565823,-8.222158,-7.918429,-8.008523,-8.822585,-8.370354,-8.081293
DMKJLJHC_01564 hypothetical protein,-14.48187,-13.78012,-13.50738,-13.7682,-14.16698,-14.5105,-13.16168,-14.11946,-13.65218,-13.75019,-13.52604,-13.41514
"DMKJLJHC_01588 Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein",-14.70162,-11.79407,-13.13478,-13.32041,-10.43795,-8.60162,-11.00921,-10.98288,-9.252541,-7.760435,-9.635056,-8.828671
DMKJLJHC_01618 hypothetical protein,-13.55235,-12.09075,-11.82036,-13.65329,-15.25027,-12.89233,-14.87015,-13.66492,-13.89988,-15.53996,-14.54283,-13.67245
DMKJLJHC_01641 Adenylosuccinate lyase,-12.69756,-13.22443,-12.15709,-13.05538,-13.4022,-13.64276,-14.21658,-13.5373,-14.34283,-15.3651,-14.54692,-13.9437
DMKJLJHC_01646 Glyceraldehyde-3-phosphate dehydrogenase,-9.102608,-8.811533,-8.844113,-13.27213,-11.87029,-11.60492,-10.52908,-10.39176,-11.58445,-11.85952,-12.72308,-14.09998
DMKJLJHC_01651 Putative 3-oxopropanoate dehydrogenase,-11.21029,-11.363,-12.76719,-13.52045,-14.39157,-13.17431,-15.02813,-14.06513,-13.30646,-13.974,-13.21583,-11.79038
