Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,PETB,PETB,PETB
DMKJLJHC_00124 Bifunctional purine biosynthesis protein PurH,27.9232,28.04114,27.97087,27.31406,27.30956,27.25449,26.92762,26.79501,26.86667,27.1206,27.05972,27.22821,27.54267,21.35693,27.05403
DMKJLJHC_00125 hypothetical protein,22.2725,21.83248,21.59896,21.27645,21.743,21.88196,21.2369,20.69464,21.49799,21.69179,21.82481,21.72829,21.99366,22.4592,22.53924
DMKJLJHC_00126 Ribosomal RNA small subunit methyltransferase B,21.56305,21.59268,21.77233,21.90345,20.35804,19.59209,21.63019,18.82973,21.56923,21.72301,21.78409,19.72544,21.94463,22.00581,21.57215
DMKJLJHC_00128 4-hydroxy-tetrahydrodipicolinate reductase,24.45054,24.33729,24.50579,24.1411,24.15453,24.28263,24.86698,24.89338,24.86406,24.24213,24.33974,24.10462,24.20344,21.77357,21.56868
DMKJLJHC_00129 30S ribosome-binding factor,21.2719,21.06592,20.83384,20.24531,19.5633,19.80079,20.31373,20.50117,18.88069,21.2356,19.7938,21.02138,21.68084,21.95454,21.3199
DMKJLJHC_00131 tRNA pseudouridine synthase B,21.56802,21.26339,21.449,21.42234,21.6734,21.82699,22.07822,21.59482,21.70961,19.95273,21.48395,21.80278,22.56303,21.85206,21.52378
DMKJLJHC_00134 30S ribosomal protein S15,26.42976,26.52543,26.28662,24.315,24.2527,24.53404,24.79328,24.88493,24.73128,24.26026,24.15954,24.18329,24.40256,21.56382,23.3864
DMKJLJHC_00135 Osmoregulated proline transporter OpuE,23.67519,23.87333,23.91643,26.74278,26.53574,26.55548,25.2509,25.67654,25.0161,26.61034,26.72897,26.47964,25.97198,21.83486,25.05838
DMKJLJHC_00137 Polyribonucleotide nucleotidyltransferase,29.96279,29.99994,29.89952,29.34333,28.93756,29.30376,29.14868,29.17155,29.11885,29.1391,29.22184,29.30128,28.045,26.38662,28.02986
DMKJLJHC_00141 Alkyl hydroperoxide reductase subunit C,25.78362,25.8335,25.93982,25.51331,25.37769,25.39379,25.45861,25.81051,25.59736,25.45032,25.41316,25.52187,25.64328,22.43819,25.11652
DMKJLJHC_00142 3-succinoylsemialdehyde-pyridine dehydrogenase,26.62199,26.66709,26.41687,26.2942,26.13044,26.2092,26.04064,26.03511,26.02983,26.05994,26.00404,25.83863,26.3672,21.14076,25.81399
DMKJLJHC_00143 Exodeoxyribonuclease III,23.56069,23.51797,23.61414,23.11351,22.84927,23.14529,23.27838,22.92499,23.59548,23.04014,22.91072,22.88224,21.68577,22.3087,22.04807
DMKJLJHC_00144 Thioredoxin 1,25.06192,24.50015,24.95992,24.62918,24.46014,24.58612,25.36142,25.35531,25.13203,24.7454,24.93161,24.92084,23.44683,22.23288,20.62195
DMKJLJHC_00147 2-octaprenyl-6-methoxyphenol hydroxylase,23.0325,22.45961,22.08971,22.20613,22.91608,23.02572,23.00225,23.05119,22.64055,22.70018,22.79319,22.88349,22.40867,21.44948,22.58289
DMKJLJHC_00148 Glutamyl-tRNA(Gln) amidotransferase subunit A,24.29922,24.51701,24.37809,24.1453,24.45369,24.14437,24.28044,23.83074,24.2488,24.38291,24.30313,24.21579,23.28221,22.02143,21.98086
DMKJLJHC_00149 LL-diaminopimelate aminotransferase,24.94172,24.94418,24.74463,24.64191,24.77841,24.85942,24.54898,24.28207,24.33327,24.68811,24.67357,24.72853,23.07206,21.56622,21.66368
DMKJLJHC_00152 hypothetical protein,21.2024,21.3285,21.34023,19.68881,21.34327,20.16964,21.22239,20.6132,20.28532,21.19214,21.33653,21.19454,22.27774,22.12056,21.84832
DMKJLJHC_00156 Free methionine-R-sulfoxide reductase,21.69715,20.19517,21.57732,20.80035,19.67316,20.64614,21.15481,19.63356,20.57397,21.44172,21.03201,21.34938,21.9622,22.73537,21.89869
DMKJLJHC_00159 Pyridoxine 5-phosphate synthase,23.86268,24.07235,24.27519,23.93256,24.04793,24.47321,24.18933,24.27135,24.14515,24.04643,23.84431,23.9859,23.61975,21.85769,22.2741
DMKJLJHC_00162 Signal peptidase I,24.79015,24.7213,24.95894,24.30117,24.3581,24.33299,24.16054,24.15931,24.26799,24.25119,24.11886,24.07684,22.27925,20.83494,21.39054
DMKJLJHC_00163 Ribonuclease 3,20.92027,20.74255,20.83569,21.05033,20.74353,21.08213,21.17231,21.255,21.4706,19.09618,20.41596,20.65866,22.12662,21.6248,22.26747
DMKJLJHC_00164 GTPase Era,24.08253,23.98085,24.23023,24.2149,24.30327,24.19061,24.34706,24.25357,24.49613,24.00599,23.87258,24.13798,22.00909,22.20186,21.85013
DMKJLJHC_00168 L-amino acid N-acyltransferase MnaT,20.27162,20.45149,18.98195,19.54916,21.54453,21.18846,22.15724,22.17191,22.12531,20.32526,20.51057,21.66518,21.73312,21.10331,20.94464
DMKJLJHC_00169 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase,23.15619,23.10559,23.12742,23.48763,23.47988,23.38706,23.72276,23.63345,23.71041,23.34272,23.22876,23.34922,23.04226,21.35833,21.99861
DMKJLJHC_00170 (2S)-methylsuccinyl-CoA dehydrogenase,23.21509,23.31838,22.76981,20.15336,19.72138,21.22382,21.78181,21.44182,21.80955,21.46254,19.51908,22.18628,22.07294,21.36935,21.98848
DMKJLJHC_00173 Succinyl-diaminopimelate desuccinylase,25.56871,25.36252,25.25516,25.11969,25.19265,25.1648,25.63898,25.02462,25.21219,25.4443,25.3412,25.46314,21.95764,21.6633,20.66165
DMKJLJHC_00175 Ribonuclease R,24.5985,24.65267,24.60099,24.09249,23.62243,24.08156,24.18745,23.66904,24.28037,24.22516,24.06439,23.94136,22.04973,21.87247,21.56056
DMKJLJHC_00178 Phosphoenolpyruvate carboxykinase (ATP),25.28926,25.34804,25.24732,26.49692,26.65144,26.63353,26.39617,26.136,26.31266,26.67667,26.82566,26.85317,25.27366,21.37977,22.02552
DMKJLJHC_00179 Transcriptional regulatory protein CreB,25.66742,25.97836,25.90298,25.52937,25.66606,25.66134,25.34313,25.30942,25.41999,25.5251,26.00228,25.54286,24.38877,22.3176,23.01898
DMKJLJHC_00180 Alkaline phosphatase synthesis sensor protein PhoR,23.10682,23.2988,23.15202,23.0534,23.03004,23.00874,22.86437,22.38345,22.86145,22.71203,22.73401,22.89036,21.94443,21.1615,21.30683
DMKJLJHC_00182 Nucleotide-binding protein YvcJ,21.82018,21.11165,21.28698,21.19382,21.53659,21.49941,21.75825,21.56393,21.49478,21.17859,21.32328,21.61831,21.79801,21.38743,22.11488
DMKJLJHC_00185 hypothetical protein,22.48148,22.40125,22.61809,22.61679,22.52511,23.00367,22.05169,22.50203,21.99269,22.74041,22.61836,22.75028,22.21834,22.1055,22.15186
DMKJLJHC_00186 3-hydroxybutyryl-CoA dehydrogenase,25.59115,25.76344,25.57727,26.04575,26.23985,26.09295,27.28542,27.27026,27.38377,26.50154,26.01899,26.11694,22.53032,22.9331,24.36853
DMKJLJHC_00188 Electron transfer flavoprotein subunit alpha,26.98283,27.05961,26.94994,26.64389,26.65799,26.73802,27.08487,27.09073,27.26749,26.77354,26.61681,26.79241,26.38507,22.07404,25.42118
DMKJLJHC_00189 Electron transfer flavoprotein subunit beta,26.82651,26.9597,27.05051,26.70174,26.79526,26.87373,27.34384,27.45356,27.40219,26.70951,26.85377,26.82055,26.74368,23.84661,26.28472
DMKJLJHC_00196 N-acetylmannosamine kinase,24.23812,24.51977,24.60761,20.84058,19.92888,20.10651,19.6464,20.74116,20.21591,20.22341,18.79898,19.07345,21.97852,21.40099,22.11178
DMKJLJHC_00197 Ribose import binding protein RbsB,31.57123,31.58145,31.71194,28.85386,28.9803,28.97665,28.43257,28.73902,28.49838,29.27928,29.11081,29.16007,28.69893,28.4603,28.21984
DMKJLJHC_00198 D-allose transport system permease protein AlsC,27.40957,27.17531,27.09376,23.3839,23.60128,23.59571,22.57785,21.8887,22.14221,23.61538,23.84843,23.71335,23.56477,23.62589,22.19769
DMKJLJHC_00199 Ribose import ATP-binding protein RbsA,27.68612,27.62275,27.76281,24.59991,24.72505,24.74694,23.99205,24.31334,24.31299,24.75384,24.80277,24.71565,22.6817,21.36711,21.48974
DMKJLJHC_00200 Crotonyl-CoA reductase,23.61605,23.55133,23.4086,22.1403,21.89193,23.80872,21.57939,22.35829,21.29092,24.04735,22.69594,23.11418,24.97456,22.37702,21.88794
DMKJLJHC_00201 Methylmalonyl-CoA mutase large subunit,21.43873,21.63005,21.79895,20.5766,18.91207,20.43531,20.03968,20.16168,20.41762,19.77327,18.85674,20.64208,22.1517,22.20321,22.07769
DMKJLJHC_00202 ATP-dependent RecD-like DNA helicase,21.92553,22.10617,21.50983,21.78129,21.15246,21.63196,21.2487,21.59263,21.50135,21.45232,21.72434,21.84019,21.83924,21.78607,21.97377
DMKJLJHC_00205 Purine nucleoside phosphorylase 1,20.89711,21.05165,20.77732,21.46986,21.08635,21.35342,20.93675,19.69999,20.96536,21.5233,21.6871,21.2304,21.66396,21.22973,22.38045
DMKJLJHC_00207 hypothetical protein,20.5402,19.2757,20.5821,19.34167,20.42491,21.43837,19.93251,20.15303,19.95097,20.27378,20.0258,20.02945,21.57791,21.76239,22.72345
DMKJLJHC_00208 Galactose/methyl galactoside import ATP-binding protein MglA,23.56046,23.62734,23.54227,24.00992,24.24779,24.32203,23.57646,23.68035,23.65075,24.11704,23.87633,24.32978,21.68962,21.96894,22.06127
DMKJLJHC_00209 Membrane lipoprotein TmpC,26.31797,26.29341,26.4202,26.54336,26.68846,26.55697,25.58566,25.93726,25.75369,26.63907,26.97224,26.69312,25.85067,21.43648,24.38284
DMKJLJHC_00213 hypothetical protein,21.87094,21.98134,21.79078,21.10156,21.49741,21.65779,21.51744,20.05987,21.60164,20.24019,22.07516,22.04297,21.50953,22.18045,21.93178
DMKJLJHC_00214 Branched-chain-amino-acid aminotransferase,24.22243,24.29663,24.43955,24.4518,24.41216,24.29957,24.68736,24.88958,24.72858,24.29502,24.47624,24.24264,21.35995,20.65527,21.08633
DMKJLJHC_00215 hypothetical protein,21.45543,21.19976,21.0486,20.8495,21.36842,21.32279,21.00347,21.64632,21.55515,21.02493,21.19484,21.1493,21.95683,21.64505,21.95409
DMKJLJHC_00218 tRNA pseudouridine synthase A,21.28664,21.04547,21.22022,20.921,19.81883,19.05924,20.76749,20.85506,20.78333,20.97694,20.52736,20.85407,21.29694,22.82163,22.25804
DMKJLJHC_00219 hypothetical protein,23.29544,23.48959,23.41803,23.37941,23.56034,23.61065,23.22348,23.32113,23.40847,23.40419,23.5064,23.44632,21.65244,21.94129,21.11112
DMKJLJHC_00221 Phosphoribosylamine--glycine ligase,24.96213,24.82677,24.61762,23.52025,23.74991,23.82561,23.86287,23.92633,23.61818,23.8956,23.93391,23.8424,21.93682,21.61387,21.39204
DMKJLJHC_00222 Exodeoxyribonuclease 7 large subunit,23.26914,23.2069,23.16272,22.72694,22.72451,22.44799,22.26376,22.45766,22.2078,22.58646,22.7154,22.88948,21.13619,21.9882,21.41503
DMKJLJHC_00225 Signal recognition particle receptor FtsY,24.58193,24.64614,24.54681,24.02064,23.95872,23.86127,24.33094,24.14102,24.24612,23.90647,23.89199,23.98746,22.00362,22.05787,21.86295
DMKJLJHC_00234 Ribosomal protein L11 methyltransferase,23.00683,22.97227,23.22717,22.27853,22.34416,21.79364,22.4998,22.65434,22.70371,22.55845,22.89471,22.41736,21.32596,21.31364,21.79585
DMKJLJHC_00237 hypothetical protein,23.80469,23.67992,24.34476,25.43581,25.54082,25.47246,25.6179,26.04725,25.96954,25.30685,25.29985,25.41664,25.52441,22.34008,25.14051
DMKJLJHC_00240 Primosomal protein N,20.77096,21.19141,21.01052,20.71699,19.46636,20.56236,20.94404,20.2314,20.71431,20.12515,21.30669,20.99983,20.59785,20.96617,20.67903
DMKJLJHC_00241 Transaldolase,27.4267,27.5018,27.69092,27.15798,27.12564,27.20004,27.25683,27.43062,27.30095,27.43468,27.0336,27.19479,26.55343,24.47438,25.97218
DMKJLJHC_00247 Isoleucine--tRNA ligase,26.3255,26.36666,26.37688,25.87324,25.81987,25.64713,26.14422,26.23612,26.28713,25.87671,25.97607,26.104,22.35499,21.42138,21.87922
DMKJLJHC_00248 hypothetical protein,21.69362,21.92198,22.30669,21.51538,20.97659,21.81726,21.73488,22.338,21.50528,21.67495,21.44567,21.41064,22.88402,21.79264,21.75347
DMKJLJHC_00250 Biopolymer transport protein ExbB,24.27845,24.22081,24.2764,24.59991,24.76507,24.59292,24.66552,24.49008,24.4617,24.52934,24.47723,24.29537,22.68546,22.32259,22.58934
DMKJLJHC_00252 hypothetical protein,21.19634,21.21424,21.02086,20.75344,20.88189,20.83884,20.78835,20.87785,20.74049,21.06382,21.01168,20.62248,22.04502,20.78962,22.57299
DMKJLJHC_00253 Dipeptidyl-peptidase 5,25.46245,25.51379,25.47085,25.64284,25.56401,25.5581,25.6799,25.77718,25.63409,25.63229,25.75129,25.58274,26.02498,20.6921,25.20389
DMKJLJHC_00254 Outer membrane lipoprotein Omp16,25.48879,25.34069,25.22115,25.10326,25.4771,25.51211,25.06878,25.03011,25.31903,25.27448,25.07141,25.12092,22.69774,21.19947,22.73548
DMKJLJHC_00255 Cell division coordinator CpoB,21.55918,21.54882,21.7195,21.93636,22.06464,21.82318,21.90279,22.2758,22.11022,22.14513,21.7997,22.48616,22.36716,21.72823,23.0299
DMKJLJHC_00257 ATP-dependent zinc metalloprotease FtsH,26.24523,26.11448,26.25018,25.49622,25.71725,25.57199,25.73665,25.81468,25.80634,25.57213,25.35256,25.35686,22.89853,21.91575,23.35904
DMKJLJHC_00258 Trans-aconitate 2-methyltransferase,21.00532,21.28144,21.03899,21.39822,20.69468,21.31722,21.08167,20.78076,20.24206,20.89732,20.87942,20.15262,21.46132,21.07995,22.02114
DMKJLJHC_00261 Bifunctional protein FolD protein,25.91966,25.81091,26.00913,25.46098,25.43431,25.32533,25.55388,25.50218,25.83538,25.50173,25.37026,25.26971,23.43606,22.41053,21.63385
DMKJLJHC_00262 Cell division topological specificity factor,22.36135,22.7945,22.2826,20.05616,20.28116,20.37295,20.48109,21.14931,20.10853,19.55896,20.49582,20.37539,21.72409,22.80868,21.38707
DMKJLJHC_00263 Septum site-determining protein MinD,25.72044,25.36943,25.65428,25.45623,25.42166,25.4406,25.43396,25.52256,25.46255,25.14511,25.28111,25.26506,24.80995,22.17937,22.57499
DMKJLJHC_00264 Septum site-determining protein MinC,22.32606,22.18906,22.29325,22.04577,22.17188,21.98975,21.76991,21.76482,21.85289,21.75328,21.4765,21.45031,21.95406,21.85028,20.59657
DMKJLJHC_00274 Outer membrane lipoprotein Omp16,24.18215,24.39656,24.63267,24.79397,24.78397,25.14961,24.85334,24.80395,24.74237,25.05817,24.92479,24.98142,23.92025,21.66141,20.8317
DMKJLJHC_00275 Type II secretion system protein D,26.31538,25.91875,26.2444,26.63699,26.58276,26.50573,25.65412,25.61496,25.69344,26.41259,26.66343,26.34939,21.02879,21.68237,27.65513
DMKJLJHC_00282 Decaprenyl-phosphate phosphoribosyltransferase,22.31,22.32734,22.07601,22.09655,22.12679,21.97014,19.97527,19.85073,19.49053,22.29916,22.20467,22.08187,21.09405,21.32468,21.51653
DMKJLJHC_00283 putative oxidoreductase,19.92458,20.92927,20.10036,21.68526,20.61478,21.58164,21.79927,21.67202,21.66679,21.76296,21.75507,21.74706,22.46917,21.64849,22.32038
DMKJLJHC_00286 putative aminotransferase,28.50032,28.48289,28.42478,26.31412,26.60597,26.86349,26.67815,26.56312,26.48441,26.90541,26.67142,26.75251,25.77759,24.02428,25.43269
DMKJLJHC_00287 Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,26.67088,26.73918,26.70332,23.88511,23.6457,23.81851,23.98971,24.05159,24.31105,23.83913,24.05532,23.98954,22.11495,21.86586,22.21643
DMKJLJHC_00289 putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B,26.20086,26.15203,26.27752,25.4224,25.62639,25.45023,26.22926,26.39664,26.14174,25.7024,26.10109,25.80558,25.8234,20.81989,21.31387
DMKJLJHC_00290 putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A,25.81096,25.91456,25.86934,25.29894,25.37723,25.37501,26.01491,26.03044,26.06569,25.38749,25.5294,25.53288,25.29765,21.00783,25.00684
DMKJLJHC_00291 DNA topoisomerase 1,24.76871,24.55192,24.71146,24.50652,24.52121,24.50803,24.40756,24.11989,24.48099,24.44076,24.65851,24.56605,21.15458,21.91736,22.34149
DMKJLJHC_00293 Metalloprotease TldD,25.11573,25.04806,25.2446,25.11486,25.29541,25.08042,25.30205,25.08128,24.96908,25.26209,25.24931,25.18404,23.33265,20.48531,23.13301
DMKJLJHC_00294 Cytochrome c oxidase subunit 2,23.68368,23.43135,23.58095,23.75827,24.23608,23.89763,24.54422,23.7545,24.02631,24.51941,24.31866,24.11751,21.7536,21.23199,21.56604
DMKJLJHC_00299 hypothetical protein,20.02486,20.21157,19.42367,20.20753,20.32113,20.11629,20.16922,20.46194,20.69184,20.27401,20.12755,20.22364,21.90934,21.51535,21.21928
DMKJLJHC_00300 Threonine synthase,26.27302,26.31346,26.22345,25.88653,25.93625,25.87977,25.98085,26.03471,25.86467,26.21137,26.27419,26.15621,26.0312,22.23398,23.61043
DMKJLJHC_00301 putative zinc protease,23.99144,24.11196,23.8321,23.63909,23.68891,23.01521,23.39728,23.54934,23.6726,23.48185,23.46201,23.75827,21.95618,22.17782,21.16779
DMKJLJHC_00303 Aspartate kinase,25.32817,25.53985,25.1676,25.07157,25.10185,25.04097,25.01048,25.22468,24.98698,25.19978,25.14075,24.92827,24.24053,21.55715,23.88409
DMKJLJHC_00304 Phosphoenolpyruvate-dependent phosphotransferase system,23.73097,23.54109,23.52444,23.29207,22.71727,23.06567,22.18129,21.89475,22.42186,23.30647,23.14746,23.38535,20.90804,20.6738,21.15934
DMKJLJHC_00305 hypothetical protein,21.22569,19.57946,20.72625,21.37729,21.57713,21.61383,21.95925,21.84552,21.82935,20.18604,21.16066,21.35719,21.86919,20.48018,21.37667
DMKJLJHC_00309 S-methyl-5-thioadenosine phosphorylase,23.93921,23.8291,24.0805,24.2094,24.11751,24.23761,24.11847,24.31292,24.14663,24.31216,24.08716,23.96649,21.64948,21.9307,21.51254
DMKJLJHC_00310 Adenine phosphoribosyltransferase,22.90268,22.87301,22.87102,21.92405,22.16803,22.2316,22.47717,22.28932,22.02712,22.34289,22.14027,22.3921,22.82138,21.80069,20.92083
DMKJLJHC_00311 putative FAD-linked oxidoreductase,23.23097,23.07357,23.04001,22.94985,22.87299,22.6587,23.13041,23.06401,22.76464,22.43771,22.76164,22.65115,21.2865,21.66298,21.70202
DMKJLJHC_00314 Efflux pump membrane transporter BepE,26.36201,26.32396,26.41392,26.90953,26.4031,26.64664,27.19807,27.14385,27.1025,26.78044,26.42877,27.0276,21.63427,21.82677,23.41957
DMKJLJHC_00315 Toluene efflux pump periplasmic linker protein TtgA,26.89885,26.98272,26.95837,27.4453,27.461,27.4307,28.05569,28.07071,27.90093,27.35993,27.34282,27.40462,27.31812,22.35198,26.77605
DMKJLJHC_00317 Glycine betaine transport ATP-binding protein OpuAA,23.80183,23.84153,23.96719,25.73169,25.89728,25.91411,25.25104,25.40458,25.15549,25.65037,26.00436,25.78536,21.37984,22.12332,22.98383
DMKJLJHC_00318 Glycine betaine/carnitine transport permease protein GbuB,22.06704,22.24342,22.17439,23.53136,23.7678,23.97071,22.95202,23.12105,22.76458,24.17158,23.66861,23.61526,21.73582,22.57002,22.41851
