Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,PETB,PETB,PETB,P_relabun,TPA_relabun,BHET_relabun,PET_relabun,PETB_relabun,P,TPA,BHET,PET,PETB,P_sd,TPA_sd,BHET_sd,PET_sd,PETB_sd,P_TPA_fc,P_BHET_fc,P_PET_fc,P_PETB_fc,TPA_BHET_fc,TPA_PET_fc,TPA_PETB_fc,BHET_PET_fc,BHET_PETB_fc,PET_PETB_fc,P_TPA_ttest,P_BHET_ttest,P_PET_ttest,P_PETB_ttest,P_TPA_ttest_sig,P_BHET_ttest_sig,P_PET_ttest_sig,P_PETB_ttest_sig,TPA_BHET_ttest,TPA_PET_ttest,TPA_PETB_ttest,TPA_BHET_ttest_sig,TPA_PET_ttest_sig,TPA_PETB_ttest_sig,BHET_PET_ttest,BHET_PETB_ttest,BHET_PET_ttest_sig,BHET_PETB_ttest_sig,PET_PETB_ttest,PET_PETB_ttest_sig
GFJPDDAG_00044 Biotin carboxyl carrier protein of acetyl-CoA carboxylase,25.1622,23.74355,24.33313,20.5484,20.21303,20.7021,18.65312,20.94845,20.12336,20.96351,19.61645,20.4086,22.52254,19.1063,20.51665,0.04183448175388192,0.005212138376430215,0.0019271444267785882,0.004262897628666508,0.03382887665449762,24.412959999999998,20.487843333333334,19.90831,20.32952,20.715163333333333,0.5819058213032985,0.20420202191838316,0.9493225054742989,0.5527705344896737,1.4017202745277748,-3.925116666666664,-4.504649999999998,-4.0834399999999995,-3.6977966666666653,-0.5795333333333339,-0.15832333333333537,0.22731999999999886,0.42120999999999853,0.8068533333333328,0.3856433333333342,0.0008434252511371478,0.0046186828938121665,0.00197711956966112,0.0261584284123625,+,+,+,+,0.44617380487265335,0.7232891698264812,0.8315892589968849,,,,0.6164409526482122,0.5372468874498967,,,0.7356984598017575,
GFJPDDAG_00045 Biotin carboxylase,26.54609,26.12646,25.27274,22.09126,22.11073,21.49775,23.51424,22.54959,23.09468,22.34224,23.57877,23.48628,21.0443,20.47461,21.44394,0.12410556439066558,0.013870475935306364,0.017041629228777645,0.029817300478981557,0.040860549451561826,25.981763333333333,21.89991333333333,23.052836666666664,23.13576333333333,20.987616666666668,0.5298162572271851,0.2844834854414026,0.39492662106044846,0.5623747626113941,0.3977519431616769,-4.081850000000003,-2.928926666666669,-2.8460000000000036,-4.994146666666666,1.1529233333333337,1.2358499999999992,-0.9122966666666628,0.08292666666666548,-2.0652199999999965,-2.148146666666662,0.0006582960278785829,0.003305610922099691,0.006475044157270853,0.00043847569428604133,+,+,+,+,0.02857089089502178,0.050167325013902725,0.05768171502883114,+,,,0.872775864668574,0.006468499709511669,,+,0.01159740847808062,+
GFJPDDAG_00046 Alkaline shock protein 23,25.80072,26.19443,25.43921,21.40446,23.28093,20.3642,20.73925,22.41725,21.66401,21.84418,23.19081,22.94812,22.53961,19.62903,20.29422,0.11028662214748546,0.01193584432938021,0.006254919697821824,0.021456622253742667,0.03640269523689437,25.811453333333333,21.683196666666664,21.606836666666666,22.661036666666664,20.820953333333332,0.3084106736515819,1.2069518273273752,0.6862325128474236,0.5860407946171958,1.2452456216702343,-4.128256666666669,-4.2046166666666664,-3.1504166666666684,-4.990500000000001,-0.07635999999999754,0.9778400000000005,-0.8622433333333319,1.054199999999998,-0.7858833333333344,-1.8400833333333324,0.009401542614322097,0.0013863824343170901,0.002542575201316889,0.00532308646049772,+,+,+,+,0.9417385218780912,0.3609290912840651,0.5207294596372937,,,,0.17386305959814544,0.478081146002387,,,0.13162382999078107,
GFJPDDAG_00048 Bifunctional protein FolD protein,21.60503,21.96483,18.97555,21.67994,20.54333,20.20024,19.83552,21.50342,19.85872,20.76573,18.90487,20.83125,22.41101,20.11017,22.05354,0.003536030351037735,0.006506441494186969,0.002708275859083988,0.003809489670791386,0.0592986230174016,20.84847,20.807836666666667,20.39922,20.167283333333334,21.524906666666666,1.3324753918428167,0.632376920848809,0.7808447519620436,0.8930616946711412,1.0109586464451568,-0.04063333333333219,-0.44924999999999926,-0.6811866666666653,0.6764366666666675,-0.40861666666666707,-0.6405533333333331,0.7170699999999997,-0.231936666666666,1.1256866666666667,1.3576233333333327,0.9707885768184602,0.7018828583912088,0.5805020973209631,0.5979663475641016,,,,,0.5960175548628777,0.4542990001821864,0.4429989156386137,,,,0.7958633077176052,0.28067577625193035,,,0.22773075192303732,
GFJPDDAG_00053 1-deoxy-D-xylulose-5-phosphate synthase,19.66257,19.54892,19.03053,20.25059,20.78293,20.35766,19.62886,20.76306,20.2021,21.14286,20.25302,21.11292,21.73948,20.97238,21.05484,0.0013082763573035656,0.005125734382931403,0.0023557090462675108,0.006056906231314419,0.049200009840326964,19.414006666666666,20.463726666666663,20.198006666666668,20.836266666666663,21.255566666666667,0.2750997952662916,0.22990443265747582,0.46304425744798466,0.41259876113348753,0.34383038311870523,1.049719999999997,0.7840000000000025,1.4222599999999979,1.8415600000000012,-0.2657199999999946,0.37254000000000076,0.7918400000000041,0.6382599999999954,1.0575599999999987,0.41930000000000334,0.014368080011465932,0.10862910283052023,0.015399220881749132,0.004092166444168267,+,,+,+,0.5075528992460173,0.3271533794718691,0.053679311030856235,,,,0.2192597931419313,0.060478203619103665,,,0.3315078655331584,
GFJPDDAG_00055 Arginine repressor,21.64513,22.73467,21.44531,19.83975,20.35558,19.83976,20.25616,20.71653,19.32805,20.17704,20.07092,21.06955,21.52799,19.79912,20.79789,0.007544179440246494,0.0037469811494498123,0.0022013695623143816,0.004599523503458185,0.033669102646642766,21.941703333333333,20.011696666666666,20.100246666666667,20.43917,20.708333333333332,0.5666151597768008,0.24316223697130523,0.577466249076274,0.44784638132585813,0.7086433831076266,-1.9300066666666673,-1.8414566666666659,-1.5025333333333322,-1.2333700000000007,0.08855000000000146,0.42747333333333515,0.6966366666666666,0.3389233333333337,0.6080866666666651,0.2691633333333314,0.011451363868867156,0.032312550043624585,0.04229916814222939,0.1269174650019872,+,+,+,,0.8513376788834506,0.30115270709723,0.25883289749370636,,,,0.5477046557867893,0.40010163602943694,,,0.6733183076094074,
GFJPDDAG_00056 DNA repair protein RecN,19.69584,17.95396,19.42736,21.70894,21.08603,20.25689,20.11749,20.71781,20.78477,21.49616,19.93128,19.63261,22.43999,21.45241,20.20272,0.000999570796945188,0.007523055427276126,0.0029859252089752568,0.004333895628893881,0.053078659555167905,19.02572,21.017286666666667,20.540023333333334,20.353350000000002,21.365040000000004,0.7657338531543894,0.5947865359568554,0.30002413651053,0.8172359774671367,0.9154486699245722,1.9915666666666674,1.5143033333333342,1.3276300000000028,2.3393200000000043,-0.47726333333333315,-0.6639366666666646,0.3477533333333369,-0.18667333333333147,0.8250166666666701,1.0116900000000015,0.04390558637745958,0.059797081187763015,0.16894645256811308,0.05022925157014918,+,,,,0.3682797814082412,0.4054984374460835,0.6756981383580547,,,,0.7768203440959071,0.2925062922303634,,,0.30843290137070417,
GFJPDDAG_00057 SpoIVB peptidase,19.67143,19.09379,20.75205,20.72646,20.54893,21.08586,19.616,22.9779,21.75017,21.26511,20.36708,21.59591,21.64999,19.73592,19.69687,0.0017565573231526617,0.006413515565883843,0.005602916644452569,0.007152004991780761,0.026463770056558922,19.83909,20.78708333333333,21.448023333333335,21.07603333333333,20.360926666666668,0.6872840090287767,0.22335300555150178,1.3890194043840993,0.5191777355481341,0.9116448261734872,0.9479933333333328,1.6089333333333364,1.2369433333333326,0.521836666666669,0.6609400000000036,0.2889499999999998,-0.42615666666666385,-0.3719900000000038,-1.0870966666666675,-0.7151066666666637,0.13716611875242427,0.21596126471116464,0.11209654227048961,0.5532383124863187,,,,,0.5427808735727203,0.5096851741457917,0.5557598914422887,,,,0.7406794336851241,0.40717148792098995,,,0.38965018943819696,
GFJPDDAG_00058 Stage 0 sporulation protein A,24.31299,21.80786,23.07315,19.92401,20.83452,20.71669,20.20542,21.57905,19.59222,20.70852,20.23996,21.22777,21.97111,20.71319,21.63015,0.01643076018758326,0.005226235200947097,0.0028226521771144925,0.005608951377715698,0.055837793680554006,23.064666666666668,20.49174,20.458896666666664,20.725416666666668,21.438149999999997,1.0227326318686065,0.4043175253024129,0.8306869356676361,0.4034486931720341,0.5311865219173639,-2.5729266666666675,-2.6057700000000033,-2.33925,-1.6265166666666708,-0.03284333333333578,0.23367666666666764,0.9464099999999966,0.2665200000000034,0.9792533333333324,0.712733333333329,0.029692605856322395,0.04896722259075328,0.03958913321645984,0.11665377836983032,+,+,+,,0.9623131619143721,0.5938907181328497,0.115460627909039,,,,0.7040675579471694,0.23284914529681353,,,0.2052876047911012,
GFJPDDAG_00059 hypothetical protein,25.47184,25.028,26.74253,26.16379,27.06856,26.57228,26.19811,27.04874,26.34465,25.80813,28.02892,27.57391,24.43498,20.11041,21.34205,0.10550132623422162,0.3609300334111671,0.18984190812129015,0.4774815165292433,0.08030957124249796,25.747456666666665,26.601543333333336,26.5305,27.13698666666667,21.96248,0.7265795163794682,0.3699499472751547,0.37130222739254615,0.9578286400093827,1.819189647416306,0.8540866666666709,0.7830433333333353,1.3895300000000042,-3.7849766666666653,-0.07104333333333557,0.5354433333333333,-4.639063333333336,0.6064866666666688,-4.568020000000001,-5.1745066666666695,0.212617859389575,0.2462560034937708,0.17748434502995983,0.05230757774574349,,,,,0.8573267123294493,0.5017553220113908,0.024143190528618224,,,+,0.4507247636972822,0.025366172234944664,,+,0.023599270936990303,+
GFJPDDAG_00060 Glycerophosphodiester phosphodiesterase,23.20263,21.36656,23.59275,21.03405,23.06784,22.5086,24.1801,24.69604,24.2129,21.72825,23.71104,22.81722,22.52365,20.33942,20.81263,0.012944858809440737,0.01711902604691195,0.04225845243314349,0.022855736600552783,0.04817635589132646,22.720646666666667,22.203496666666666,24.36301333333333,22.752169999999996,21.225233333333332,0.9706394556282067,0.8578622554673656,0.23586582419295543,0.8107764479805767,0.9382239626845796,-0.5171500000000009,1.642366666666664,0.03152333333332891,-1.4954133333333353,2.159516666666665,0.5486733333333298,-0.9782633333333344,-1.6108433333333352,-3.1377799999999993,-1.5269366666666642,0.6025151711683765,0.08067116970836813,0.973569586710495,0.19227534703381213,,,,,0.02647127589883661,0.5468473320353221,0.337667726694883,+,,,0.05421201284958284,0.010130164485510094,,+,0.15657238012047778,
GFJPDDAG_00062 Arginine utilization regulatory protein RocR,19.81843,18.71968,20.78259,20.87036,19.71539,21.04922,20.46994,19.93529,25.75954,21.48175,18.10872,20.62535,22.38908,20.72852,20.68371,0.0016785637436987392,0.005422740198500216,0.008533147757431393,0.003565870746848907,0.04959502029824534,19.773566666666667,20.544990000000002,22.054923333333335,20.07194,21.267103333333335,0.8427767422962944,0.5911428732548505,2.6286373074064238,1.4315562199462046,0.7935681925889472,0.7714233333333347,2.2813566666666674,0.29837333333333405,1.4935366666666674,1.5099333333333327,-0.47305000000000064,0.7221133333333327,-1.9829833333333333,-0.78782,1.1951633333333334,0.3490005374386251,0.30739727800966504,0.8120110312615003,0.14211085686718739,,,,,0.47239285305023043,0.688048658676709,0.36037659056848004,,,,0.40184396755192014,0.7056849541642943,,,0.36011689118724716,
GFJPDDAG_00063 Phosphate acetyltransferase,19.50862,19.96692,18.79377,20.08692,19.12112,21.74117,19.96078,21.08948,19.85489,20.79627,19.73075,19.50707,21.87065,19.8689,21.72498,0.0013165515313968482,0.0046281492393342285,0.0025312874769355003,0.003419244865386609,0.045882222330860936,19.42310333333333,20.31640333333333,20.301716666666664,20.011363333333332,21.154843333333332,0.4827387532495075,1.081869508715764,0.5587077202696306,0.5624749132973746,0.9112418740866164,0.8933,0.8786133333333339,0.5882600000000018,1.731740000000002,-0.01468666666666607,-0.3050399999999982,0.8384400000000021,-0.29035333333333213,0.8531266666666681,1.1434800000000003,0.3463417865076266,0.16769856562342123,0.3245220815942769,0.07641016121903414,,,,,0.9872073131494633,0.7413583939860395,0.4490480851625408,,,,0.6318297463677284,0.32211545668391356,,,0.20552823568042347,
GFJPDDAG_00064 Leucine dehydrogenase,25.36229,25.93881,25.32787,24.23374,24.77886,24.86684,24.51418,24.43333,24.61885,23.83239,24.1715,24.38416,22.05718,20.53242,20.15152,0.09156032368117173,0.09180571451941727,0.047185598466179805,0.05937009062249649,0.03881995926300439,25.542990000000003,24.62648,24.52212,24.12935,20.913706666666666,0.28023952659585055,0.2800222024530672,0.07594603478786634,0.22722235820153555,0.8233750261508348,-0.9165100000000024,-1.0208700000000022,-1.4136400000000044,-4.629283333333337,-0.10435999999999979,-0.49713000000000207,-3.7127733333333346,-0.3927700000000023,-3.608413333333335,-3.2156433333333325,0.030739309935828067,0.007638421330861133,0.00518626617693648,0.001667950652110894,+,+,+,+,0.6377503225614894,0.12301560878595987,0.0037950806328960964,,,+,0.08127099721694538,0.0035005862466077884,,+,0.005988937393769449,+
GFJPDDAG_00066 Dihydrolipoyl dehydrogenase,22.96756,24.12841,23.09745,22.11258,23.29782,20.57073,22.84286,22.5078,23.02327,20.16222,19.79477,22.63194,21.46795,20.16463,20.51218,0.020698686641230757,0.01480222404503089,0.014216207076803884,0.006170088047207528,0.03382317136063967,23.397806666666664,21.993710000000004,22.79131,20.86297666666667,20.71492,0.5193289105716681,1.1164982533797356,0.2135733786469344,1.2598090679763958,0.551052560288036,-1.4040966666666606,-0.6064966666666649,-2.534829999999996,-2.682886666666665,0.7975999999999956,-1.1307333333333354,-1.2787900000000043,-1.928333333333331,-2.07639,-0.14805666666666895,0.1821289438729134,0.20136117807171955,0.05814081239777475,0.007433708628365328,,,,+,0.3772241370195323,0.3959312999766052,0.2200113013987097,,,,0.09973330292299182,0.007658628214909835,,+,0.8863436433238374,
GFJPDDAG_00067 2-oxoisovalerate dehydrogenase subunit alpha,22.53998,22.51997,22.47529,21.65149,20.71304,21.90507,21.37533,20.17778,20.02037,20.46972,20.61009,20.80746,22.49677,20.38121,22.40794,0.011199848597932945,0.009967502437437124,0.0029539553705707155,0.005246678577325393,0.06988899353761407,22.511746666666667,21.423199999999998,20.524493333333336,20.629089999999998,21.761973333333334,0.02704214529622599,0.512718976503373,0.6050546818447269,0.1385347775831037,0.9770203782362424,-1.0885466666666694,-1.9872533333333315,-1.8826566666666693,-0.7497733333333336,-0.8987066666666621,-0.7941099999999999,0.3387733333333358,0.10459666666666223,1.237479999999998,1.1328833333333357,0.04000780502896482,0.00973226788840686,4.6518910335117405e-05,0.3389939520196727,+,+,+,,0.18429015185466188,0.1019677173336702,0.6865320448065209,,,,0.8233508902155505,0.20246032069533895,,,0.17978758201583156,
GFJPDDAG_00068 2-oxoisovalerate dehydrogenase subunit beta,22.86391,24.15607,22.84969,20.2231,22.14576,20.8449,22.89332,21.81331,22.69181,21.29506,22.73223,22.08482,22.7832,20.73879,21.64064,0.019206871732563194,0.007809798826774897,0.0113474904015726,0.013925762415768973,0.06792622149123465,23.28989,21.07125333333333,22.46614666666667,22.03737,21.72087666666667,0.6125092632768911,0.801075211838578,0.46889825124670864,0.5876807688419518,0.8365530483411606,-2.2186366666666686,-0.8237433333333293,-1.2525200000000005,-1.5690133333333307,1.3948933333333393,0.9661166666666681,0.6496233333333379,-0.42877666666667125,-0.7452700000000014,-0.3164933333333302,0.03582119750445657,0.2055069683786521,0.10521580573201829,0.09907359445332599,+,,,,0.1007468756519028,0.24106461618075156,0.47206439702920777,,,,0.4651464532097502,0.3334604004259587,,,0.6841296879151775,
GFJPDDAG_00069 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,23.60479,21.44258,23.74016,19.92076,19.26288,21.22183,20.68329,21.67516,21.77808,19.95532,21.43196,20.29942,21.17875,20.46908,21.30024,0.014957916444540824,0.004081752538231453,0.0053405859187851444,0.005009087257939312,0.04072125253071216,22.929176666666667,20.135156666666663,21.378843333333336,20.562233333333335,20.98269,1.0526343132773555,0.8139802305680135,0.4936219614464318,0.630829907626101,0.36654820428787527,-2.7940200000000033,-1.550333333333331,-2.3669433333333316,-1.9464866666666651,1.2436866666666724,0.42707666666667166,0.8475333333333381,-0.8166100000000007,-0.39615333333333425,0.4204566666666665,0.04116451972686924,0.13238842487541572,0.052568895681338046,0.06897228770552198,+,,,,0.1383740408719533,0.5890453400912541,0.2505154463674951,,,,0.2228217863770502,0.41372885077914867,,,0.4608158925618449,
GFJPDDAG_00070 Bacillopeptidase F,32.70716,30.85653,33.86747,31.06014,33.35495,31.65574,33.42817,33.62484,32.97705,31.29866,32.86408,32.33493,30.73409,30.33682,28.61789,11.196141394593106,15.474895567910027,21.343483356331777,15.58860717505908,19.63699697234747,32.47705333333334,32.02361,33.34335333333333,32.16589,29.896266666666666,1.239933258804234,0.9722943610176231,0.27117444721474493,0.6501619466461155,0.918383013647114,-0.45344333333333964,0.8662999999999954,-0.3111633333333401,-2.580786666666672,1.319743333333335,0.14227999999999952,-2.1273433333333323,-1.1774633333333355,-3.4470866666666673,-2.2696233333333318,0.7048624442373295,0.3890806171792052,0.7689960671114395,0.07720906118450795,,,,,0.1381470859920995,0.8717665632180367,0.08769992849983704,,,,0.0773403228347706,0.007027229668411645,,+,0.04627790219154578,+
GFJPDDAG_00072 putative methylmalonyl-CoA mutase small subunit,21.99099,21.86575,18.94571,21.23722,20.93619,21.70138,19.49575,20.04097,21.87893,21.57014,20.36649,20.35845,21.87537,21.04304,20.64806,0.00375239228258776,0.00909850000535316,0.002848175468240388,0.005765081794230324,0.04697571989195083,20.93415,21.291596666666667,20.471883333333334,20.765026666666667,21.188823333333335,1.4069687249781597,0.31474492363746814,1.0195265089682015,0.5693105596733252,0.5115414901604318,0.357446666666668,-0.4622666666666646,-0.16912333333333152,0.2546733333333364,-0.8197133333333326,-0.5265699999999995,-0.1027733333333316,0.2931433333333331,0.716940000000001,0.42379666666666793,0.7435586600088999,0.7258370417456197,0.882420621614486,0.8217100766039866,,,,,0.3383690667506211,0.3161565894610734,0.8206875885119136,,,,0.740498976436456,0.42429462316348093,,,0.4773512491626848,
