Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,P_relabun,TPA_relabun,BHET_relabun,PET_relabun,P,TPA,BHET,PET,P_sd,TPA_sd,BHET_sd,PET_sd,P_TPA_fc,P_BHET_fc,P_PET_fc,TPA_BHET_fc,TPA_PET_fc,BHET_PET_fc,P_TPA_ttest,P_BHET_ttest,P_PET_ttest,P_TPA_ttest_sig,P_BHET_ttest_sig,P_PET_ttest_sig,TPA_BHET_ttest,TPA_PET_ttest,TPA_BHET_ttest_sig,TPA_PET_ttest_sig,BHET_PET_ttest,BHET_PET_ttest_sig
GFJPDDAG_01931 hypothetical protein,-15.25541,-15.78058,-16.65277,-14.37254,-12.74074,-14.74756,-15.50802,-11.39882,-11.60466,-11.69352,-11.4648,-11.64772,0.002091611,0.012147998,0.030832667,0.057428491,-15.89625333,-13.95361333,-12.83716667,-11.60201333,0.576303729,0.871189337,1.890447156,0.098809696,1.94264,3.059086667,4.29424,1.116446667,2.3516,1.235153333,0.058178851,0.093796973,0.000485225,,,+,0.49037342,0.019218049,,+,0.408364471,
GFJPDDAG_01937 Multiple sugar-binding protein,-7.053,-8.312414,-6.878401,-10.28154,-8.282277,-7.83493,-5.410055,-7.47619,-5.819757,-7.766898,-4.537276,-6.481371,0.747672612,0.432536382,2.994751189,2.326361767,-7.414605,-8.799582333,-6.235334,-6.261848333,0.638835896,1.063697554,0.893217645,1.327593617,-1.384977333,1.179271,1.152756667,2.564248333,2.537734,-0.026514333,0.189580988,0.20346213,0.330564907,,,,0.059369052,0.10252832,,,0.982426501,
GFJPDDAG_01989 hypothetical protein,-11.79577,-13.76724,-12.18435,-12.60371,-11.85246,-11.31682,-12.83832,-12.70674,-12.69083,-11.63525,-11.35397,-11.27679,0.0207986,0.049588374,0.032859936,0.065060263,-12.58245333,-11.92433,-12.74529667,-11.42200333,0.852657879,0.52782285,0.066097339,0.154045002,0.658123333,-0.162843333,1.16045,-0.820966667,0.502326667,1.323293333,0.405879075,0.801031701,0.131135519,,,,0.09446994,0.26594874,,,0.000366404,+
GFJPDDAG_02057 Phosphate-binding protein PstS 1,-10.98897,-11.62962,-11.02587,-10.15642,-10.80503,-10.80184,-10.80245,-11.16215,-10.73141,-10.88734,-11.5264,-10.87909,0.053670145,0.125235232,0.118183468,0.081464414,-11.21482,-10.58776333,-10.89867,-11.09761,0.293694493,0.305008576,0.188552297,0.303219023,0.627056667,0.31615,0.11721,-0.310906667,-0.509846667,-0.19894,0.104317577,0.269401424,0.714589896,,,,0.287378656,0.168948827,,,0.474801158,
GFJPDDAG_02060 Superoxide dismutase [Mn],-2.393993,-3.066091,-2.170841,-4.267007,-3.128796,-3.324824,-3.478634,-3.399735,-4.044257,-3.563413,-3.261039,-2.829836,21.87850001,16.18890378,18.08717028,19.18394866,-2.543641667,-3.573542333,-3.640875333,-3.218096,0.380494576,0.49684114,0.287046848,0.301017031,-1.029900667,-1.097233667,-0.674454333,-0.067333,0.355446333,0.422779333,0.080479683,0.031208923,0.120726217,,+,,0.876245116,0.435675708,,,0.223957956,
GFJPDDAG_02169 putative ABC transporter ATP-binding protein YxlF,-11.67496,-11.09015,-11.13608,-15.90164,-13.62752,-12.02804,-14.30616,-14.70285,-14.44346,-14.82708,-15.40107,-16.69187,0.050579161,0.013030857,0.009845045,0.003495991,-11.30039667,-13.8524,-14.48415667,-15.64000667,0.265519189,1.589365177,0.164484859,0.779819844,-2.552003333,-3.18376,-4.33961,-0.631756667,-1.787606667,-1.15585,0.088648717,0.000134595,0.001734187,,+,+,0.605884661,0.226481885,,,0.109563258,
GFJPDDAG_02184 hypothetical protein,-13.31863,-12.81796,-12.82523,-13.91255,-14.30184,-14.2514,-13.98667,-13.49246,-15.28847,-13.80628,-15.19035,-14.35335,0.015709818,0.010563358,0.011532935,0.007976273,-12.98727333,-14.15526333,-14.25586667,-14.44999333,0.234323343,0.17285518,0.757523647,0.569161601,-1.16799,-1.268593333,-1.46272,-0.100603333,-0.29473,-0.194126667,0.004764021,0.086436166,0.028284147,+,,+,0.863619313,0.522094609,,,0.786411217,
GFJPDDAG_02254 L-cystine-binding protein FliY,-6.367684,-9.752847,-6.291872,-5.620228,-5.990557,-5.386929,-5.588975,-5.43317,-5.913459,-4.820636,-4.824281,-3.976093,0.71910911,3.796239623,4.508254036,7.671917099,-7.470801,-5.665904667,-5.645201333,-4.540336667,1.613946989,0.248537669,0.200067374,0.398983298,1.804896333,1.825599667,2.930464333,0.020703333,1.125568,1.104864667,0.193065646,0.187586859,0.067285017,,,,0.931295346,0.027623039,,+,0.024878829,+
GFJPDDAG_02273 Fumarate reductase flavoprotein subunit,-11.83623,-10.52305,-11.97725,-13.70568,-14.23124,-12.28379,-17.16158,-15.83723,-13.22598,-12.46867,-16.04566,-15.34447,0.045739157,0.017745197,0.005188405,0.007091585,-11.44551,-13.40690333,-15.40826333,-14.6196,0.654813459,0.822634385,1.635083309,1.547641593,-1.961393333,-3.962753333,-3.17409,-2.00136,-1.212696667,0.788663333,0.057692174,0.033477805,0.055737264,,+,,0.196924635,0.383229704,,,0.646296788,
GFJPDDAG_02285 hypothetical protein,-9.623682,-9.144361,-9.75344,-9.953958,-16.53923,-11.29798,-11.10772,-11.1483,-13.37017,-12.09669,-15.77582,-11.7605,0.175303,0.03110779,0.060052723,0.018826654,-9.507161,-12.597056,-11.87539667,-13.21100333,0.261950586,2.841026888,1.057094185,1.818785186,-3.089895,-2.368235667,-3.703842333,0.721659333,-0.613947333,-1.335606667,0.200379847,0.03710145,0.046370268,,+,+,0.753281665,0.809578689,,,0.420011543,
GFJPDDAG_02302 Putative aminopeptidase YsdC,-10.5468,-10.74541,-11.21603,-10.04062,-9.581754,-9.135327,-11.36321,-11.18979,-10.99784,-9.571809,-10.95061,-10.54956,0.069782234,0.250794114,0.0970019,0.136086651,-10.83608,-9.585900333,-11.18361333,-10.35732633,0.280633789,0.369595949,0.149225607,0.579073045,1.250179667,-0.347533333,0.478753667,-1.597713,-0.771426,0.826287,0.0189425,0.196927291,0.352084439,+,,,0.004775884,0.187463961,+,,0.12237743,
GFJPDDAG_02417 D-methionine-binding lipoprotein MetQ,-7.107844,-10.1947,-8.441177,-14.92276,-15.48108,-12.03153,-13.17444,-13.9567,-14.2008,-15.45191,-15.95608,-14.93401,0.333057519,0.010637865,0.016069366,0.003995496,-8.581240333,-14.14512333,-13.77731333,-15.44733333,1.264089473,1.511817425,0.437788682,0.41727088,-5.563883,-5.196073,-6.866093,0.36781,-1.30221,-1.67002,0.016226666,0.005352449,0.001877813,+,+,+,0.757618145,0.305438793,,,0.017466234,+
GFJPDDAG_02425 1-pyrroline-5-carboxylate dehydrogenase 1,-4.196018,-5.276595,-4.55608,-4.138895,-3.788391,-3.937339,-6.209913,-5.748514,-5.417939,-2.904463,-3.084239,-3.36992,4.989352473,12.42867612,4.071747632,20.54026844,-4.676231,-3.954875,-5.792122,-3.119540667,0.449250383,0.143628913,0.324789108,0.191654569,0.721356,-1.115891,1.556690333,-1.837247,0.835334333,2.672581333,0.096571063,0.046549662,0.010761885,,+,+,0.001856644,0.007858727,+,+,0.000557182,+
GFJPDDAG_02441 Arylesterase,-11.27142,-10.88123,-11.00767,-15.89701,-15.97009,-14.42518,-15.16286,-15.31688,-13.03482,-14.87675,-14.29782,-14.50638,0.060022349,0.004363543,0.009704818,0.007389063,-11.05344,-15.43076,-14.50485333,-14.56031667,0.162548923,0.711678075,1.041370584,0.239404622,-4.37732,-3.451413333,-3.506876667,0.925906667,0.870443333,-0.055463333,0.001060073,0.009799502,6.80E-05,+,+,+,0.35783751,0.176466903,,,0.945007139,
GFJPDDAG_02507 Putative aminopeptidase YsdC,-10.20469,-10.74219,-11.08882,-9.033402,-9.087807,-8.511395,-10.50948,-9.920393,-10.55949,-9.111762,-10.29202,-10.16278,0.077832523,0.409785562,0.175310277,0.192696615,-10.67856667,-8.877534667,-10.32978767,-9.855520667,0.363737461,0.259850813,0.290204807,0.528556815,1.801032,0.348779,0.823046,-1.452253,-0.977986,0.474267,0.004688242,0.348901116,0.143860378,+,,,0.006202182,0.078663542,+,,0.328340828,
GFJPDDAG_02601 N5-carboxyaminoimidazole ribonucleotide mutase,-11.55774,-7.932015,-9.985374,-14.92792,-15.45275,-12.05448,-14.51928,-14.88041,-12.28471,-12.27063,-10.77871,-16.31224,0.140636268,0.010638405,0.014812615,0.020045151,-9.825043,-14.14505,-13.8948,-13.12052667,1.484531344,1.493703189,1.148011636,2.33762441,-4.320007,-4.069757,-3.295483667,0.25025,1.024523333,0.774273333,0.044072038,0.037404874,0.167663828,+,+,,0.860132397,0.629056341,,,0.695759724,
GFJPDDAG_02683 Sodium/proton-dependent alanine carrier protein,-12.26421,-11.30335,-12.88546,-15.84273,-15.2197,-13.72545,-15.02577,-13.31236,-14.67851,-15.05506,-14.64314,-14.30671,0.028048685,0.006177258,0.010888056,0.006856179,-12.15100667,-14.92929333,-14.33888,-14.66830333,0.650834981,0.88843333,0.739574139,0.30603031,-2.778286667,-2.187873333,-2.517296667,0.590413333,0.26099,-0.329423333,0.023425423,0.034824157,0.007761341,+,+,+,0.510076921,0.714504543,,,0.591755143,
GFJPDDAG_02778 Swarming motility protein SwrC,-15.36136,-13.85543,-14.08292,-5.874906,-14.41284,-15.35786,-14.10825,-12.78095,-13.62167,-7.880262,-10.0677,-10.53379,0.005766241,0.051069547,0.01942619,0.247586827,-14.43323667,-11.88186867,-13.50362333,-9.493917333,0.66282105,4.265049125,0.548259418,1.156783651,2.551368,0.929613333,4.939319333,-1.621754667,2.387951333,4.009706,0.450209514,0.201148331,0.006342953,,,+,0.622044793,0.487343544,,,0.01142479,+
GFJPDDAG_02854 General stress protein 18,-8.717463,-8.477077,-8.618545,-13.36629,-13.89888,-14.32011,-15.52921,-13.72266,-14.15876,-14.43012,-14.04957,-15.07728,0.327762322,0.012946588,0.009940679,0.007603787,-8.604361667,-13.86176,-14.47021,-14.51899,0.098648306,0.390279019,0.769699748,0.424240788,-5.257398333,-5.865848333,-5.914628333,-0.60845,-0.65723,-0.04878,5.06E-05,0.000433796,4.33E-05,+,+,+,0.375153408,0.182172793,,,0.941205734,
GFJPDDAG_02879 hypothetical protein,-11.75687,-9.73296,-10.78936,-14.68804,-15.37848,-15.01581,-15.04456,-13.26251,-13.39399,-15.42781,-15.27868,-14.58507,0.073574701,0.005770981,0.014755707,0.00509302,-10.75973,-15.02744333,-13.90035333,-15.09718667,0.826523391,0.281990956,0.810854866,0.36720344,-4.267713333,-3.140623333,-4.337456667,1.12709,-0.069743333,-1.196833333,0.002299645,0.018523001,0.002467041,+,+,+,0.136924824,0.841717497,,,0.130013102,
GFJPDDAG_03027 hypothetical protein,-11.15676,-13.01422,-10.01849,-11.99449,-13.79296,-12.18002,-14.10761,-13.29796,-13.14806,-10.91748,-10.93013,-11.93027,0.04731999,0.029866094,0.019235211,0.072827668,-11.39649,-12.65582333,-13.51787667,-11.25929333,1.234693596,0.80763655,0.421470881,0.474480257,-1.259333333,-2.121386667,0.137196667,-0.862053333,1.39653,2.258583333,0.293884015,0.082980745,0.890475755,,,,0.251826207,0.10266914,,,0.007318254,+
GFJPDDAG_03055 Spore coat protein A,-14.24545,-15.6212,-13.94288,-13.3545,-15.08858,-14.13164,-14.30701,-15.75921,-13.82719,-14.14194,-14.06093,-14.73897,0.005125495,0.010300816,0.008891444,0.008765045,-14.60317667,-14.19157333,-14.63113667,-14.31394667,0.730372408,0.70920254,0.821368327,0.302351099,0.411603333,-0.02796,0.28923,-0.439563333,-0.122373333,0.31719,0.598069616,0.973025913,0.632142225,,,,0.59741424,0.833388004,,,0.63529667,
