#Batch CD-search tool	NIH/NLM/NCBI									
#cdsid	QM3-qcdsearch-1D4DCAEC1C1DDBC2-146D72111A946631									
#datatype	hitsFull Results									
#status	0									
#Start time	2019-06-07T14:37:35	Run time	0:00:06:46							
#status	success									
										
Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181198	3	187	3.49E-19	82.8263	PRK08017	PRK08017	C	cl32260
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	181198	3	187	3.49E-19	82.8263	cl32260	PRK08017 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187590	3	207	4.13E-19	82.4966	cd05329	TR_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	236173	1	183	9.84E-19	80.8444	PRK08177	PRK08177	 - 	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187627	3	175	2.11E-18	80.7089	cd05369	TER_DECR_SDR_a	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180838	1	207	2.16E-18	80.3536	PRK07102	PRK07102	 - 	cl32192
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	180838	1	207	2.16E-18	80.3536	cl32192	PRK07102 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	168186	1	190	3.38E-18	80.6051	PRK05693	PRK05693	C	cl31569
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	168186	1	190	3.38E-18	80.6051	cl31569	PRK05693 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181334	6	195	9.69E-18	79.3116	PRK08263	PRK08263	C	cl32283
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	181334	6	195	9.69E-18	79.3116	cl32283	PRK08263 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	184025	3	164	9.87E-18	79.1692	PRK13394	PRK13394	C	cl32867
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	184025	3	164	9.87E-18	79.1692	cl32867	PRK13394 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235816	3	175	1.39E-17	78.4592	PRK06500	PRK06500	C	cl35484
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235816	3	175	1.39E-17	78.4592	cl35484	PRK06500 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	237100	3	218	1.79E-17	78.0042	PRK12429	PRK12429	 - 	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235500	4	164	2.42E-17	77.5414	PRK05557	fabG	C	cl35333
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235500	4	164	2.42E-17	77.5414	cl35333	fabG superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181305	3	206	3.81E-17	77.5332	PRK08226	PRK08226	 - 	cl32280
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	181305	3	206	3.81E-17	77.5332	cl32280	PRK08226 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187623	4	204	4.34E-17	76.8392	cd05365	7_alpha_HSDH_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187612	3	208	7.96E-17	75.9065	cd05354	SDR_c7	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180773	4	154	1.22E-16	75.954	PRK06949	PRK06949	C	cl32180
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	180773	4	154	1.22E-16	75.954	cl32180	PRK06949 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181295	3	175	1.59E-16	75.7531	PRK08213	PRK08213	C	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187603	3	175	2.61E-16	74.7339	cd05345	BKR_3_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	237220	4	207	3.66E-16	74.4478	PRK12828	PRK12828	 - 	cl36193
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	237220	4	207	3.66E-16	74.4478	cl36193	PRK12828 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	171820	4	164	4.29E-16	74.1813	PRK12936	PRK12936	C	cl31630
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	171820	4	164	4.29E-16	74.1813	cl31630	PRK12936 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187601	4	208	9.22E-16	73.3158	cd05343	Mgc4172-like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235713	5	208	1.62E-15	73.6011	PRK06139	PRK06139	C	cl35433
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235713	5	208	1.62E-15	73.6011	cl35433	PRK06139 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187640	3	175	2.22E-15	72.8757	cd08935	mannonate_red_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187665	5	164	2.37E-15	72.6957	cd09805	type2_17beta_HSD-like_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180440	4	175	3.49E-15	71.706	PRK06172	PRK06172	C	cl32124
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	180440	4	175	3.49E-15	71.706	cl32124	PRK06172 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	183773	1	164	5.47E-15	71.3353	PRK12824	PRK12824	C	cl32839
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	183773	1	164	5.47E-15	71.3353	cl32839	PRK12824 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181335	3	208	5.77E-15	71.0736	PRK08264	PRK08264	 - 	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235545	2	168	5.88E-15	71.6102	PRK05650	PRK05650	C	cl30675
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235545	2	168	5.88E-15	71.6102	cl30675	PRK05650 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	236357	6	203	7.16E-15	71.0573	PRK08945	PRK08945	 - 	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187597	3	208	8.68E-15	70.4995	cd05338	DHRS1_HSDL2-like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187600	3	188	9.99E-15	70.4898	cd05341	3beta-17beta-HSD_like_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181721	3	207	1.11E-14	70.5464	PRK09242	PRK09242	 - 	cl32356
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	181721	3	207	1.11E-14	70.5464	cl32356	PRK09242 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235914	5	185	1.19E-14	70.0661	PRK07041	PRK07041	C	cl35535
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235914	5	185	1.19E-14	70.0661	cl35535	PRK07041 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	274889	3	183	1.23E-14	70.5785	TIGR03971	SDR_subfam_1	C	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235813	3	164	1.54E-14	70.5294	PRK06482	PRK06482	C	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235631	5	183	1.95E-14	70.1556	PRK05866	PRK05866	C	cl30676
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235631	5	183	1.95E-14	70.1556	cl30676	PRK05866 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181491	3	208	1.98E-14	70.1922	PRK08589	PRK08589	 - 	cl32310
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	181491	3	208	1.98E-14	70.1922	cl32310	PRK08589 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235608	3	208	2.05E-14	69.4049	PRK05786	fabG	 - 	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187626	3	206	2.91E-14	69.0353	cd05368	DHRS6_like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187615	3	208	3.09E-14	68.8427	cd05357	PR_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187629	3	207	3.72E-14	68.8545	cd05371	HSD10-like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	237188	3	155	3.84E-14	68.8347	PRK12745	PRK12745	C	cl36175
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	237188	3	155	3.84E-14	68.8347	cl36175	PRK12745 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180458	3	201	3.87E-14	69.2741	PRK06194	PRK06194	C	cl30677
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	180458	3	201	3.87E-14	69.2741	cl30677	PRK06194 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187591	5	207	3.90E-14	69.0864	cd05330	cyclohexanol_reductase_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	212495	3	143	3.99E-14	69.4176	cd09807	retinol-DH_like_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187646	3	175	4.16E-14	69.0473	cd08942	RhlG_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180723	3	175	5.14E-14	68.5317	PRK06841	PRK06841	C	cl32173
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	180723	3	175	5.14E-14	68.5317	cl32173	PRK06841 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	212496	4	212	6.09E-14	67.5471	cd11730	Tthb094_like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180818	3	180	6.68E-14	68.5297	PRK07062	PRK07062	C	cl32187
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	180818	3	180	6.68E-14	68.5297	cl32187	PRK07062 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180408	2	182	1.30E-13	67.4994	PRK06114	PRK06114	C	cl32117
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	180408	2	182	1.30E-13	67.4994	cl32117	PRK06114 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180576	3	175	1.38E-13	67.5014	PRK06463	fabG	C	cl32146
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	180576	3	175	1.38E-13	67.5014	cl32146	fabG superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187609	4	199	1.43E-13	67.1106	cd05351	XR_like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187617	4	207	1.75E-13	66.9919	cd05359	ChcA_like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187613	3	185	1.84E-13	67.317	cd05355	SDR_c1	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180822	4	155	2.66E-13	66.6572	PRK07069	PRK07069	C	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235736	3	126	3.42E-13	67.0149	PRK06196	PRK06196	C	cl30681
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235736	3	126	3.42E-13	67.0149	cl30681	PRK06196 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181077	1	67	3.46E-13	66.2406	PRK07677	PRK07677	C	cl32234
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	181077	1	67	3.46E-13	66.2406	cl32234	PRK07677 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187644	3	220	3.61E-13	66.3165	cd08940	HBDH_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235633	3	183	3.68E-13	66.9174	PRK05872	PRK05872	C	cl35399
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235633	3	183	3.68E-13	66.9174	cl35399	PRK05872 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180462	4	156	4.13E-13	66.1821	PRK06198	PRK06198	C	cl32128
