#Batch CD-search tool	NIH/NLM/NCBI											
#cdsid	QM3-qcdsearch-1D4DCAEC1C1DDBC2-317EA3B81877B768											
#datatype	hitsStandard Results											
#status	0											
#Start time	2019-06-07T14:37:35	Run time	0:00:06:46									
#status	success											
												
Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily		
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	specific	130156	16	295	1	3.00E-137	392	929	TIGR01084	mutY	 - 	cl30725
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	superfamily	130156	16	295	1	3.00E-137	392	929	cl30725	mutY superfamily	 - 	 - 
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	non-specific	182805	15	320	5	3.60E-79	248	471	PRK10880	PRK10880	 - 	cl32599
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	superfamily	182805	15	320	5	3.60E-79	248	471	cl32599	PRK10880 superfamily	 - 	 - 
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	specific	238013	41	198	4	4.80E-54	177	819	cd00056	ENDO3c	 - 	cl23768
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	superfamily	355038	41	198	4	4.80E-54	177	819	cl23768	ENDO3c superfamily	 - 	 - 
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	specific	214684	49	200	1	2.40E-43	150	492	smart00478	ENDO3c	 - 	cl23768
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	specific	279119	45	181	9	8.50E-33	121	624	pfam00730	HhH-GPD	 - 	cl23768
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	specific	236145	1	247	3	1.60E-170	471	511	PRK08063	PRK08063	 - 	cl35637
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	superfamily	236145	1	247	3	1.60E-170	471	511	cl35637	PRK08063 superfamily	 - 	 - 
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	specific	187617	6	245	3	6.70E-122	349	728	cd05359	ChcA_like_SDR_c	 - 	cl25409
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	superfamily	355392	6	245	3	6.70E-122	349	728	cl25409	SDR superfamily	 - 	 - 
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	specific	338819	11	242	6	8.20E-76	231	921	pfam13561	adh_short_C2	 - 	cl21454
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	superfamily	354811	11	242	6	8.20E-76	231	921	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	specific	223959	1	244	7	7.80E-65	204	281	COG1028	FabG	 - 	cl34069
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	superfamily	223959	1	244	7	7.80E-65	204	281	cl34069	FabG superfamily	 - 	 - 
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	non-specific	273824	6	242	1	2.80E-58	188	186	TIGR01830	3oxo_ACP_reduc	 - 	cl36987
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	superfamily	273824	6	242	1	2.80E-58	188	186	cl36987	3oxo_ACP_reduc superfamily	 - 	 - 
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	non-specific	214833	4	106	8	1.60E-06	47	4769	smart00822	PKS_KR	C	cl21454
"Q#11 - >GFJPDDAG_03996 Small, acid-soluble spore protein gamma-type"	non-specific	309405	11	65	0	473685	29	4975	pfam04259	SASP_gamma	C	cl21710
"Q#11 - >GFJPDDAG_03996 Small, acid-soluble spore protein gamma-type"	superfamily	328865	11	65	0	473685	29	4975	cl21710	SASP_gamma superfamily	C	 - 
Q#12 - >GFJPDDAG_03997 hypothetical protein	non-specific	316683	5	78	1	8.00E-13	61	6454	pfam14182	YgaB	 - 	cl16688
Q#12 - >GFJPDDAG_03997 hypothetical protein	superfamily	316683	5	78	1	8.00E-13	61	6454	cl16688	YgaB superfamily	 - 	 - 
Q#12 - >GFJPDDAG_03997 hypothetical protein	non-specific	274755	19	76	0	385311	31	2191	TIGR03734	PRTRC_parB	N	cl37322
Q#12 - >GFJPDDAG_03997 hypothetical protein	superfamily	274755	19	76	0	385311	31	2191	cl37322	PRTRC_parB superfamily	N	 - 
Q#13 - >GFJPDDAG_03998 hypothetical protein	specific	184219	7	181	5	7.30E-123	346	143	PRK13662	PRK13662	 - 	cl00979
Q#13 - >GFJPDDAG_03998 hypothetical protein	superfamily	321284	7	181	5	7.30E-123	346	143	cl00979	DUF402 superfamily	 - 	 - 
Q#13 - >GFJPDDAG_03998 hypothetical protein	specific	226087	7	181	2	7.60E-97	281	233	COG3557	YgaC	 - 	cl00979
Q#13 - >GFJPDDAG_03998 hypothetical protein	specific	309335	65	130	3	5.00E-20	81	8076	pfam04167	DUF402	 - 	cl00979
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	specific	224055	31	581	0	560	894	COG1132	MdlB	 - 	cl34129	
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	224055	31	581	0	560	894	cl34129	MdlB superfamily	 - 	 - 	
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	non-specific	131258	5	578	2	5.00E-162	477	672	TIGR02203	MsbA_lipidA	 - 	cl31179
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	131258	5	578	2	5.00E-162	477	672	cl31179	MsbA_lipidA superfamily	 - 	 - 
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	specific	349998	28	316	1	5.40E-154	447	251	cd18554	ABC_6TM_Sav1866_like	 - 	cl38913
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	365789	28	316	1	5.40E-154	447	251	cl38913	ABC_6TM_exporters superfamily	 - 	 - 
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	non-specific	183016	38	578	8	3.80E-127	386	682	PRK11176	PRK11176	 - 	cl32653
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	183016	38	578	8	3.80E-127	386	682	cl32653	PRK11176 superfamily	 - 	 - 
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	specific	307007	31	296	5	9.40E-40	149	332	pfam00664	ABC_membrane	 - 	cl00549
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	321036	31	296	5	9.40E-40	149	332	cl00549	ABC_membrane superfamily	 - 	 - 
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	specific	214640	368	548	3	1.00E-08	52	7609	smart00382	AAA	 - 	cl30760
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	357636	368	548	3	1.00E-08	52	7609	cl30760	AAA superfamily	 - 	 - 
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	specific	223521	7	324	0	540	239	COG0444	DppD	 - 	cl33877	
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	223521	7	324	0	540	239	cl33877	DppD superfamily	 - 	 - 	
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	non-specific	181888	1	321	2	2.90E-131	380	224	PRK09473	oppD	 - 	cl32377
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	181888	1	321	2	2.90E-131	380	224	cl32377	oppD superfamily	 - 	 - 
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	specific	213224	7	241	1	8.00E-127	364	135	cd03257	ABC_NikE_OppD_transporters	 - 	cl25403
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	355390	7	241	1	8.00E-127	364	135	cl25403	ABC_ATPase superfamily	 - 	 - 
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	non-specific	131817	26	259	4	9.90E-93	278	868	TIGR02770	nickel_nikD	 - 	cl31245
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	131817	26	259	4	9.90E-93	278	868	cl31245	nickel_nikD superfamily	 - 	 - 
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	specific	333758	27	187	4	6.60E-38	135	78	pfam00005	ABC_tran	 - 	cl21455
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	354812	27	187	4	6.60E-38	135	78	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	specific	214640	37	224	2	3.90E-08	55	721	smart00382	AAA	 - 	cl30760
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	357636	37	224	2	3.90E-08	55	721	cl30760	AAA superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	non-specific	236898	1	319	9	3.60E-170	476	379	PRK11308	dppF	 - 	cl36019
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	236898	1	319	9	3.60E-170	476	379	cl36019	dppF superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	specific	226967	2	313	6	5.00E-156	436	643	COG4608	AppF	 - 	cl34787
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	226967	2	313	6	5.00E-156	436	643	cl34787	AppF superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	specific	213224	5	236	7	2.20E-132	376	846	cd03257	ABC_NikE_OppD_transporters	 - 	cl25403
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	355390	5	236	7	2.20E-132	376	846	cl25403	ABC_ATPase superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	non-specific	131816	5	270	1	2.60E-78	242	789	TIGR02769	nickel_nikE	 - 	cl31244
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	131816	5	270	1	2.60E-78	242	789	cl31244	nickel_nikE superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	specific	333758	32	182	9	7.90E-47	157	35	pfam00005	ABC_tran	 - 	cl21455
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	354812	32	182	9	7.90E-47	157	35	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	specific	214640	41	226	1	4.40E-09	58	5389	smart00382	AAA	 - 	cl30760
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	357636	41	226	1	4.40E-09	58	5389	cl30760	AAA superfamily	 - 	 - 
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	specific	173858	43	521	0	730	902	cd08493	PBP2_DppA_like	 - 	cl01709	
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	superfamily	351575	43	521	0	730	902	cl01709	PBP2_NikA_DppA_OppA_like superfamily	 - 	 - 	
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	specific	223818	38	537	6	7.00E-141	418	195	COG0747	DdpA	 - 	cl34029
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	superfamily	223818	38	537	6	7.00E-141	418	195	cl34029	DdpA superfamily	 - 	 - 
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	specific	334111	88	455	7	8.80E-126	374	809	pfam00496	SBP_bac_5	 - 	cl01709
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	non-specific	185311	55	521	1	6.70E-99	312	593	PRK15413	PRK15413	 - 	cl28999
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	superfamily	185311	55	521	1	6.70E-99	312	593	cl28999	PRK15413 superfamily	 - 	 - 
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	non-specific	274072	38	526	3	0.00E+00	238	551	TIGR02294	nickel_nikA	 - 	cl01709
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	specific	223674	1	333	4	4.50E-119	348	325	COG0601	DppB	 - 	cl33970
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	superfamily	223674	1	333	4	4.50E-119	348	325	cl33970	DppB superfamily	 - 	 - 
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	non-specific	182834	1	333	1	2.90E-91	279	4	PRK10914	PRK10914	 - 	cl00427
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	superfamily	351090	1	333	1	2.90E-91	279	4	cl00427	TM_PBP2 superfamily	 - 	 - 
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	non-specific	131836	1	332	6	2.80E-71	225	41	TIGR02789	nickel_nikB	 - 	cl31248
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	superfamily	131836	1	332	6	2.80E-71	225	41	cl31248	nickel_nikB superfamily	 - 	 - 
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	specific	334128	113	333	4	1.70E-22	94	288	pfam00528	BPD_transp_1	 - 	cl00427
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	specific	119394	113	322	1	2.00E-09	59	5996	cd06261	TM_PBP2	 - 	cl00427
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	specific	224094	21	297	1	8.00E-106	313	814	COG1173	DppC	 - 	cl34159
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	superfamily	224094	21	297	1	8.00E-106	313	814	cl34159	DppC superfamily	 - 	 - 
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	non-specific	185040	13	297	5	5.40E-93	280	76	PRK15082	PRK15082	 - 	cl33075
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	superfamily	185040	13	297	5	5.40E-93	280	76	cl33075	PRK15082 superfamily	 - 	 - 
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	non-specific	131837	36	293	8	4.30E-84	255	3	TIGR02790	nickel_nikC	 - 	cl31249
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	superfamily	131837	36	293	8	4.30E-84	255	3	cl31249	nickel_nikC superfamily	 - 	 - 
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	specific	119394	97	278	3	1.90E-19	85	7932	cd06261	TM_PBP2	 - 	cl00427
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	superfamily	351090	97	278	3	1.90E-19	85	7932	cl00427	TM_PBP2 superfamily	 - 	 - 
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	specific	334128	114	297	1	8.20E-14	72	7169	pfam00528	BPD_transp_1	 - 	cl00427
Q#20 - >GFJPDDAG_04005 hypothetical protein	specific	226614	1	283	9	3.80E-65	211	52	COG4129	YgaE	 - 	cl34719
Q#20 - >GFJPDDAG_04005 hypothetical protein	superfamily	226614	1	283	9	3.80E-65	211	52	cl34719	YgaE superfamily	 - 	 - 
Q#20 - >GFJPDDAG_04005 hypothetical protein	specific	283688	1	142	2	4.00E-44	149	231	pfam06081	ArAE_1	 - 	cl19401
Q#20 - >GFJPDDAG_04005 hypothetical protein	superfamily	354417	1	142	2	4.00E-44	149	231	cl19401	FUSC_2 superfamily	 - 	 - 
Q#20 - >GFJPDDAG_04005 hypothetical protein	non-specific	275016	10	76	0	704475	34	9763	TIGR04154	archaeo_STT3	NC	cl25704
Q#20 - >GFJPDDAG_04005 hypothetical protein	superfamily	330525	10	76	0	704475	34	9763	cl25704	Stt3 superfamily	NC	 - 
"Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1"	specific	183493	1	428	0	932	504	PRK12389	PRK12389	 - 	cl18945	
"Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1"	superfamily	354370	1	428	0	932	504	cl18945	Beta_elim_lyase superfamily	 - 	 - 	
"Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1"	specific	223080	1	428	0	654	266	COG0001	HemL	 - 	cl33735	
"Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1"	superfamily	223080	1	428	0	654	266	cl33735	HemL superfamily	 - 	 - 	
"Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1"	non-specific	273230	6	428	0	562	753	TIGR00713	hemL	 - 	cl18945	
"Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1"	specific	99735	9	425	3	2.30E-119	355	723	cd00610	OAT_like	 - 	cl29034
"Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1"	superfamily	355910	9	425	3	2.30E-119	355	723	cl29034	AAT_I superfamily	 - 	 - 
"Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1"	non-specific	333920	36	421	2	2.60E-67	222	194	pfam00202	Aminotran_3	 - 	cl18945
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	non-specific	213234	4	239	1	7.40E-126	363	961	cd03267	ABC_NatA_like	 - 	cl25403
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	355390	4	239	1	7.40E-126	363	961	cl25403	ABC_ATPase superfamily	 - 	 - 
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	specific	226952	1	332	5	1.00E-122	353	612	COG4586	COG4586	 - 	cl34782
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	226952	1	332	5	1.00E-122	353	612	cl34782	COG4586 superfamily	 - 	 - 
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	non-specific	130256	38	270	8	7.50E-56	186	57	TIGR01188	drrA	C	cl31072
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	130256	38	270	8	7.50E-56	186	57	cl31072	drrA superfamily	C	 - 
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	non-specific	184196	39	244	6	8.70E-36	133	82	PRK13636	cbiO	 - 	cl32910
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	184196	39	244	6	8.70E-36	133	82	cl32910	cbiO superfamily	 - 	 - 
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	specific	333758	40	184	1	7.10E-35	128	53	pfam00005	ABC_tran	 - 	cl21455
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	354812	40	184	1	7.10E-35	128	53	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	specific	214640	49	220	1	2.40E-04	44	2865	smart00382	AAA	 - 	cl30760
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	357636	49	220	1	2.40E-04	44	2865	cl30760	AAA superfamily	 - 	 - 
Q#23 - >GFJPDDAG_04008 hypothetical protein	non-specific	226953	1	263	1	2.70E-25	104	18	COG4587	COG4587	 - 	cl21474
Q#23 - >GFJPDDAG_04008 hypothetical protein	superfamily	354826	1	263	1	2.70E-25	104	18	cl21474	ABC2_membrane superfamily	 - 	 - 
Q#23 - >GFJPDDAG_04008 hypothetical protein	non-specific	253605	31	262	1	8.00E-06	50	3683	pfam06182	ABC2_membrane_6	 - 	cl21474
Q#24 - >GFJPDDAG_04009 hypothetical protein	non-specific	226218	3	260	8	5.80E-39	138	284	COG3694	COG3694	 - 	cl21474
Q#24 - >GFJPDDAG_04009 hypothetical protein	superfamily	354826	3	260	8	5.80E-39	138	284	cl21474	ABC2_membrane superfamily	 - 	 - 
Q#24 - >GFJPDDAG_04009 hypothetical protein	non-specific	253605	33	260	5	4.90E-36	130	105	pfam06182	ABC2_membrane_6	 - 	cl21474
Q#25 - >GFJPDDAG_04010 hypothetical protein	specific	336849	80	124	0	357249	33	7626	pfam07885	Ion_trans_2	N	cl21560
Q#25 - >GFJPDDAG_04010 hypothetical protein	superfamily	354871	80	124	0	357249	33	7626	cl21560	Ion_trans_2 superfamily	N	 - 
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	specific	224146	1	154	1	0.00E+00	250	256	COG1225	Bcp	 - 	cl00388
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	superfamily	351069	1	154	1	0.00E+00	250	256	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	specific	239315	5	147	3	5.50E-84	245	535	cd03017	PRX_BCP	 - 	cl00388
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	non-specific	181857	6	151	5	8.40E-57	177	437	PRK09437	bcp	 - 	cl00388
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	specific	334156	14	129	4	5.60E-47	150	825	pfam00578	AhpC-TSA	 - 	cl37998
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	superfamily	334156	14	129	4	5.60E-47	150	825	cl37998	AhpC-TSA superfamily	 - 	 - 
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	non-specific	211789	3	152	2	1.40E-09	55	8698	TIGR03137	AhpC	 - 	cl29162
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	superfamily	211789	3	152	2	1.40E-09	55	8698	cl29162	AhpC superfamily	 - 	 - 
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	specific	240625	1	316	3	6.70E-125	362	61	cd05300	2-Hacid_dh_1	 - 	cl21454
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	superfamily	354811	1	316	3	6.70E-125	362	61	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	specific	223189	1	316	9	6.00E-83	255	316	COG0111	SerA	 - 	cl28944
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	superfamily	355820	1	316	9	6.00E-83	255	316	cl28944	SerA superfamily	 - 	 - 
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	specific	335114	104	278	6	9.10E-58	186	531	pfam02826	2-Hacid_dh_C	 - 	cl21454
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	non-specific	273556	22	283	2	7.40E-36	138	996	TIGR01327	PGDH	C	cl36872
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	superfamily	273556	22	283	2	7.40E-36	138	996	cl36872	PGDH superfamily	C	 - 
