#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1D4DCAEC1C1DDBC2-317EA3B81877B768
#datatype	hitsStandard Results
#status	0
#Start time	2019-06-07T14:37:35	Run time	0:00:06:46
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#2 - >GFJPDDAG_03987 hypothetical protein	superfamily	312393	5	103	4.48889e-57	171.242	cl07442	DUF1811 superfamily	 - 	 - 
Q#3 - >GFJPDDAG_03988 hypothetical protein	non-specific	316649	4	52	6.41634e-13	55.521	pfam14139	YpzG	 - 	cl16648
Q#3 - >GFJPDDAG_03988 hypothetical protein	superfamily	316649	4	52	6.41634e-13	55.521	cl16648	YpzG superfamily	 - 	 - 
Q#4 - >GFJPDDAG_03989 Small, acid-soluble spore protein K	specific	179534	2	49	2.85044e-19	71.8665	PRK03081	sspK	 - 	cl23915
Q#4 - >GFJPDDAG_03989 Small, acid-soluble spore protein K	superfamily	329168	2	49	2.85044e-19	71.8665	cl23915	SspK superfamily	 - 	 - 
Q#4 - >GFJPDDAG_03989 Small, acid-soluble spore protein K	specific	285399	1	47	4.50268e-19	71.3594	pfam08176	SspK	 - 	cl23915
Q#4 - >GFJPDDAG_03989 Small, acid-soluble spore protein K	specific	274427	16	47	6.31407e-11	50.3284	TIGR03091	SASP_sspK	 - 	cl23915
Q#5 - >GFJPDDAG_03990 hypothetical protein	non-specific	316556	5	75	2.54228e-36	117.02	pfam14043	WVELL	 - 	cl16563
Q#5 - >GFJPDDAG_03990 hypothetical protein	superfamily	316556	5	75	2.54228e-36	117.02	cl16563	WVELL superfamily	 - 	 - 
Q#6 - >GFJPDDAG_03991 hypothetical protein	specific	309442	1	171	8.57653e-37	129.863	pfam04307	YdjM	 - 	cl00868
Q#6 - >GFJPDDAG_03991 hypothetical protein	superfamily	321220	1	171	8.57653e-37	129.863	cl00868	YdjM superfamily	 - 	 - 
Q#6 - >GFJPDDAG_03991 hypothetical protein	specific	224899	1	183	8.79848e-37	130.267	COG1988	YbcI	 - 	cl00868
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	specific	224115	15	361	9.31149e-157	443.709	COG1194	MutY	 - 	cl34172
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	superfamily	224115	15	361	9.31149e-157	443.709	cl34172	MutY superfamily	 - 	 - 
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	specific	130156	16	295	1.03064e-137	392.929	TIGR01084	mutY	 - 	cl30725
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	superfamily	130156	16	295	1.03064e-137	392.929	cl30725	mutY superfamily	 - 	 - 
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	non-specific	182805	15	320	5.35527e-80	248.471	PRK10880	PRK10880	 - 	cl32599
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	superfamily	182805	15	320	5.35527e-80	248.471	cl32599	PRK10880 superfamily	 - 	 - 
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	specific	238013	41	198	4.48087e-55	177.819	cd00056	ENDO3c	 - 	cl23768
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	superfamily	355038	41	198	4.48087e-55	177.819	cl23768	ENDO3c superfamily	 - 	 - 
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	specific	214684	49	200	1.24398e-44	150.492	smart00478	ENDO3c	 - 	cl23768
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	specific	279119	45	181	9.85094e-34	121.624	pfam00730	HhH-GPD	 - 	cl23768
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	specific	236145	1	247	3.16047e-171	471.511	PRK08063	PRK08063	 - 	cl35637
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	superfamily	236145	1	247	3.16047e-171	471.511	cl35637	PRK08063 superfamily	 - 	 - 
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	specific	187617	6	245	3.67378e-123	349.728	cd05359	ChcA_like_SDR_c	 - 	cl25409
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	superfamily	355392	6	245	3.67378e-123	349.728	cl25409	SDR superfamily	 - 	 - 
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	specific	338819	11	242	6.81826e-77	231.921	pfam13561	adh_short_C2	 - 	cl21454
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	superfamily	354811	11	242	6.81826e-77	231.921	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	specific	223959	1	244	7.77931e-66	204.281	COG1028	FabG	 - 	cl34069
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	superfamily	223959	1	244	7.77931e-66	204.281	cl34069	FabG superfamily	 - 	 - 
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	non-specific	273824	6	242	1.28446e-59	188.186	TIGR01830	3oxo_ACP_reduc	 - 	cl36987
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	superfamily	273824	6	242	1.28446e-59	188.186	cl36987	3oxo_ACP_reduc superfamily	 - 	 - 
Q#10 - >GFJPDDAG_03995 Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	non-specific	214833	4	106	8.15618e-07	47.4769	smart00822	PKS_KR	C	cl21454
Q#11 - >GFJPDDAG_03996 Small, acid-soluble spore protein gamma-type	non-specific	309405	11	65	0.0473685	29.4975	pfam04259	SASP_gamma	C	cl21710
Q#11 - >GFJPDDAG_03996 Small, acid-soluble spore protein gamma-type	superfamily	328865	11	65	0.0473685	29.4975	cl21710	SASP_gamma superfamily	C	 - 
Q#12 - >GFJPDDAG_03997 hypothetical protein	non-specific	316683	5	78	1.79986e-14	61.6454	pfam14182	YgaB	 - 	cl16688
Q#12 - >GFJPDDAG_03997 hypothetical protein	superfamily	316683	5	78	1.79986e-14	61.6454	cl16688	YgaB superfamily	 - 	 - 
Q#12 - >GFJPDDAG_03997 hypothetical protein	non-specific	274755	19	76	0.0385311	31.2191	TIGR03734	PRTRC_parB	N	cl37322
Q#12 - >GFJPDDAG_03997 hypothetical protein	superfamily	274755	19	76	0.0385311	31.2191	cl37322	PRTRC_parB superfamily	N	 - 
Q#13 - >GFJPDDAG_03998 hypothetical protein	specific	184219	7	181	5.72709e-124	346.143	PRK13662	PRK13662	 - 	cl00979
Q#13 - >GFJPDDAG_03998 hypothetical protein	superfamily	321284	7	181	5.72709e-124	346.143	cl00979	DUF402 superfamily	 - 	 - 
Q#13 - >GFJPDDAG_03998 hypothetical protein	specific	226087	7	181	2.76384e-98	281.233	COG3557	YgaC	 - 	cl00979
Q#13 - >GFJPDDAG_03998 hypothetical protein	specific	309335	65	130	3.49889e-21	81.8076	pfam04167	DUF402	 - 	cl00979
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	specific	224055	31	581	0	560.894	COG1132	MdlB	 - 	cl34129
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	224055	31	581	0	560.894	cl34129	MdlB superfamily	 - 	 - 
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	non-specific	131258	5	578	2.49544e-163	477.672	TIGR02203	MsbA_lipidA	 - 	cl31179
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	131258	5	578	2.49544e-163	477.672	cl31179	MsbA_lipidA superfamily	 - 	 - 
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	specific	349998	28	316	1.54326e-155	447.251	cd18554	ABC_6TM_Sav1866_like	 - 	cl38913
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	365789	28	316	1.54326e-155	447.251	cl38913	ABC_6TM_exporters superfamily	 - 	 - 
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	non-specific	183016	38	578	8.37892e-128	386.682	PRK11176	PRK11176	 - 	cl32653
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	183016	38	578	8.37892e-128	386.682	cl32653	PRK11176 superfamily	 - 	 - 
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	specific	307007	31	296	5.93507e-41	149.332	pfam00664	ABC_membrane	 - 	cl00549
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	321036	31	296	5.93507e-41	149.332	cl00549	ABC_membrane superfamily	 - 	 - 
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	specific	214640	368	548	3.00885e-08	52.7609	smart00382	AAA	 - 	cl30760
Q#14 - >GFJPDDAG_03999 Putative multidrug export ATP-binding/permease protein	superfamily	357636	368	548	3.00885e-08	52.7609	cl30760	AAA superfamily	 - 	 - 
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	specific	223521	7	324	0	540.239	COG0444	DppD	 - 	cl33877
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	223521	7	324	0	540.239	cl33877	DppD superfamily	 - 	 - 
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	non-specific	181888	1	321	2.28896e-132	380.224	PRK09473	oppD	 - 	cl32377
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	181888	1	321	2.28896e-132	380.224	cl32377	oppD superfamily	 - 	 - 
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	specific	213224	7	241	1.07841e-127	364.135	cd03257	ABC_NikE_OppD_transporters	 - 	cl25403
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	355390	7	241	1.07841e-127	364.135	cl25403	ABC_ATPase superfamily	 - 	 - 
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	non-specific	131817	26	259	4.99093e-94	278.868	TIGR02770	nickel_nikD	 - 	cl31245
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	131817	26	259	4.99093e-94	278.868	cl31245	nickel_nikD superfamily	 - 	 - 
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	specific	333758	27	187	4.66297e-39	135.078	pfam00005	ABC_tran	 - 	cl21455
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	354812	27	187	4.66297e-39	135.078	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	specific	214640	37	224	2.39314e-09	55.0721	smart00382	AAA	 - 	cl30760
Q#15 - >GFJPDDAG_04000 Oligopeptide transport ATP-binding protein OppD	superfamily	357636	37	224	2.39314e-09	55.0721	cl30760	AAA superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	non-specific	236898	1	319	9.36009e-171	476.379	PRK11308	dppF	 - 	cl36019
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	236898	1	319	9.36009e-171	476.379	cl36019	dppF superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	specific	226967	2	313	6.05432e-156	436.643	COG4608	AppF	 - 	cl34787
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	226967	2	313	6.05432e-156	436.643	cl34787	AppF superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	specific	213224	5	236	7.21624e-133	376.846	cd03257	ABC_NikE_OppD_transporters	 - 	cl25403
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	355390	5	236	7.21624e-133	376.846	cl25403	ABC_ATPase superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	non-specific	131816	5	270	1.25819e-79	242.789	TIGR02769	nickel_nikE	 - 	cl31244
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	131816	5	270	1.25819e-79	242.789	cl31244	nickel_nikE superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	specific	333758	32	182	9.79446e-48	157.035	pfam00005	ABC_tran	 - 	cl21455
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	354812	32	182	9.79446e-48	157.035	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	specific	214640	41	226	1.43795e-10	58.5389	smart00382	AAA	 - 	cl30760
Q#16 - >GFJPDDAG_04001 Oligopeptide transport ATP-binding protein OppF	superfamily	357636	41	226	1.43795e-10	58.5389	cl30760	AAA superfamily	 - 	 - 
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	specific	173858	43	521	0	730.902	cd08493	PBP2_DppA_like	 - 	cl01709
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	superfamily	351575	43	521	0	730.902	cl01709	PBP2_NikA_DppA_OppA_like superfamily	 - 	 - 
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	specific	223818	38	537	6.0729e-141	418.195	COG0747	DdpA	 - 	cl34029
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	superfamily	223818	38	537	6.0729e-141	418.195	cl34029	DdpA superfamily	 - 	 - 
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	specific	334111	88	455	7.87957e-127	374.809	pfam00496	SBP_bac_5	 - 	cl01709
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	non-specific	185311	55	521	1.67331e-100	312.593	PRK15413	PRK15413	 - 	cl28999
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	superfamily	185311	55	521	1.67331e-100	312.593	cl28999	PRK15413 superfamily	 - 	 - 
Q#17 - >GFJPDDAG_04002 Periplasmic dipeptide transport protein	non-specific	274072	38	526	2.99799e-72	238.551	TIGR02294	nickel_nikA	 - 	cl01709
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	specific	223674	1	333	4.44712e-120	348.325	COG0601	DppB	 - 	cl33970
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	superfamily	223674	1	333	4.44712e-120	348.325	cl33970	DppB superfamily	 - 	 - 
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	non-specific	182834	1	333	1.29432e-92	279.004	PRK10914	PRK10914	 - 	cl00427
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	superfamily	351090	1	333	1.29432e-92	279.004	cl00427	TM_PBP2 superfamily	 - 	 - 
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	non-specific	131836	1	332	6.27923e-72	225.41	TIGR02789	nickel_nikB	 - 	cl31248
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	superfamily	131836	1	332	6.27923e-72	225.41	cl31248	nickel_nikB superfamily	 - 	 - 
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	specific	334128	113	333	4.16874e-23	94.288	pfam00528	BPD_transp_1	 - 	cl00427
Q#18 - >GFJPDDAG_04003 Dipeptide transport system permease protein DppB	specific	119394	113	322	1.20169e-10	59.5996	cd06261	TM_PBP2	 - 	cl00427
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	specific	224094	21	297	1.80176e-107	313.814	COG1173	DppC	 - 	cl34159
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	superfamily	224094	21	297	1.80176e-107	313.814	cl34159	DppC superfamily	 - 	 - 
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	non-specific	185040	13	297	5.54173e-94	280.076	PRK15082	PRK15082	 - 	cl33075
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	superfamily	185040	13	297	5.54173e-94	280.076	cl33075	PRK15082 superfamily	 - 	 - 
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	non-specific	131837	36	293	8.43228e-85	255.003	TIGR02790	nickel_nikC	 - 	cl31249
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	superfamily	131837	36	293	8.43228e-85	255.003	cl31249	nickel_nikC superfamily	 - 	 - 
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	specific	119394	97	278	3.18671e-20	85.7932	cd06261	TM_PBP2	 - 	cl00427
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	superfamily	351090	97	278	3.18671e-20	85.7932	cl00427	TM_PBP2 superfamily	 - 	 - 
Q#19 - >GFJPDDAG_04004 Glutathione transport system permease protein GsiD	specific	334128	114	297	1.81981e-15	72.7169	pfam00528	BPD_transp_1	 - 	cl00427
Q#20 - >GFJPDDAG_04005 hypothetical protein	specific	226614	1	283	9.38087e-66	211.052	COG4129	YgaE	 - 	cl34719
Q#20 - >GFJPDDAG_04005 hypothetical protein	superfamily	226614	1	283	9.38087e-66	211.052	cl34719	YgaE superfamily	 - 	 - 
Q#20 - >GFJPDDAG_04005 hypothetical protein	specific	283688	1	142	2.04493e-44	149.231	pfam06081	ArAE_1	 - 	cl19401
Q#20 - >GFJPDDAG_04005 hypothetical protein	superfamily	354417	1	142	2.04493e-44	149.231	cl19401	FUSC_2 superfamily	 - 	 - 
Q#20 - >GFJPDDAG_04005 hypothetical protein	non-specific	275016	10	76	0.0704475	34.9763	TIGR04154	archaeo_STT3	NC	cl25704
Q#20 - >GFJPDDAG_04005 hypothetical protein	superfamily	330525	10	76	0.0704475	34.9763	cl25704	Stt3 superfamily	NC	 - 
Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1	specific	183493	1	428	0	932.504	PRK12389	PRK12389	 - 	cl18945
Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1	superfamily	354370	1	428	0	932.504	cl18945	Beta_elim_lyase superfamily	 - 	 - 
Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1	specific	223080	1	428	0	654.266	COG0001	HemL	 - 	cl33735
Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1	superfamily	223080	1	428	0	654.266	cl33735	HemL superfamily	 - 	 - 
Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1	non-specific	273230	6	428	0	562.753	TIGR00713	hemL	 - 	cl18945
Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1	specific	99735	9	425	3.22547e-120	355.723	cd00610	OAT_like	 - 	cl29034
Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1	superfamily	355910	9	425	3.22547e-120	355.723	cl29034	AAT_I superfamily	 - 	 - 
Q#21 - >GFJPDDAG_04006 Glutamate-1-semialdehyde 2,1-aminomutase 1	non-specific	333920	36	421	2.26476e-68	222.194	pfam00202	Aminotran_3	 - 	cl18945
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	non-specific	213234	4	239	1.73839e-127	363.961	cd03267	ABC_NatA_like	 - 	cl25403
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	355390	4	239	1.73839e-127	363.961	cl25403	ABC_ATPase superfamily	 - 	 - 
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	specific	226952	1	332	5.00617e-122	353.612	COG4586	COG4586	 - 	cl34782
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	226952	1	332	5.00617e-122	353.612	cl34782	COG4586 superfamily	 - 	 - 
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	non-specific	130256	38	270	8.75421e-57	186.057	TIGR01188	drrA	C	cl31072
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	130256	38	270	8.75421e-57	186.057	cl31072	drrA superfamily	C	 - 
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	non-specific	184196	39	244	6.87105e-37	133.82	PRK13636	cbiO	 - 	cl32910
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	184196	39	244	6.87105e-37	133.82	cl32910	cbiO superfamily	 - 	 - 
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	specific	333758	40	184	1.70923e-36	128.53	pfam00005	ABC_tran	 - 	cl21455
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	354812	40	184	1.70923e-36	128.53	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	specific	214640	49	220	1.23742e-05	44.2865	smart00382	AAA	 - 	cl30760
Q#22 - >GFJPDDAG_04007 ABC transporter ATP-binding protein NatA	superfamily	357636	49	220	1.23742e-05	44.2865	cl30760	AAA superfamily	 - 	 - 
Q#23 - >GFJPDDAG_04008 hypothetical protein	non-specific	226953	1	263	1.27286e-26	104.018	COG4587	COG4587	 - 	cl21474
Q#23 - >GFJPDDAG_04008 hypothetical protein	superfamily	354826	1	263	1.27286e-26	104.018	cl21474	ABC2_membrane superfamily	 - 	 - 
Q#23 - >GFJPDDAG_04008 hypothetical protein	non-specific	253605	31	262	1.80145e-07	50.3683	pfam06182	ABC2_membrane_6	 - 	cl21474
Q#24 - >GFJPDDAG_04009 hypothetical protein	non-specific	226218	3	260	8.58185e-40	138.284	COG3694	COG3694	 - 	cl21474
Q#24 - >GFJPDDAG_04009 hypothetical protein	superfamily	354826	3	260	8.58185e-40	138.284	cl21474	ABC2_membrane superfamily	 - 	 - 
Q#24 - >GFJPDDAG_04009 hypothetical protein	non-specific	253605	33	260	5.48706e-37	130.105	pfam06182	ABC2_membrane_6	 - 	cl21474
Q#25 - >GFJPDDAG_04010 hypothetical protein	specific	336849	80	124	0.00357249	33.7626	pfam07885	Ion_trans_2	N	cl21560
Q#25 - >GFJPDDAG_04010 hypothetical protein	superfamily	354871	80	124	0.00357249	33.7626	cl21560	Ion_trans_2 superfamily	N	 - 
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	specific	224146	1	154	1.00461e-86	250.256	COG1225	Bcp	 - 	cl00388
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	superfamily	351069	1	154	1.00461e-86	250.256	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	specific	239315	5	147	3.55082e-85	245.535	cd03017	PRX_BCP	 - 	cl00388
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	non-specific	181857	6	151	5.84288e-58	177.437	PRK09437	bcp	 - 	cl00388
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	specific	334156	14	129	4.55673e-48	150.825	pfam00578	AhpC-TSA	 - 	cl37998
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	superfamily	334156	14	129	4.55673e-48	150.825	cl37998	AhpC-TSA superfamily	 - 	 - 
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	non-specific	211789	3	152	2.13556e-10	55.8698	TIGR03137	AhpC	 - 	cl29162
Q#26 - >GFJPDDAG_04011 Putative peroxiredoxin bcp	superfamily	211789	3	152	2.13556e-10	55.8698	cl29162	AhpC superfamily	 - 	 - 
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	specific	240625	1	316	3.67058e-126	362.61	cd05300	2-Hacid_dh_1	 - 	cl21454
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	superfamily	354811	1	316	3.67058e-126	362.61	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	specific	223189	1	316	9.59763e-84	255.316	COG0111	SerA	 - 	cl28944
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	superfamily	355820	1	316	9.59763e-84	255.316	cl28944	SerA superfamily	 - 	 - 
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	specific	335114	104	278	6.90625e-59	186.531	pfam02826	2-Hacid_dh_C	 - 	cl21454
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	non-specific	273556	22	283	2.73911e-37	138.996	TIGR01327	PGDH	C	cl36872
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	superfamily	273556	22	283	2.73911e-37	138.996	cl36872	PGDH superfamily	C	 - 
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	non-specific	181414	25	304	2.98698e-33	124.327	PRK08410	PRK08410	 - 	cl30767
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	superfamily	181414	25	304	2.98698e-33	124.327	cl30767	PRK08410 superfamily	 - 	 - 
Q#27 - >GFJPDDAG_04012 Hydroxypyruvate reductase	non-specific	214966	138	226	0.000250881	40.5682	smart01002	AlaDh_PNT_C	C	cl21454
