#Batch CD-search tool	NIH/NLM/NCBI									
#cdsid	QM3-qcdsearch-EF832E26470DADB-3CA465FD1FDB02E6									
#datatype	hitsStandard Results									
#status	0									
#Start time	2019-06-07T14:36:53	Run time	0:01:26:40							
#status	success									
										
Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#4 - >GFJPDDAG_00004 hypothetical protein	superfamily	273359	34	261	3.14E-08	53.4664	cl36778	2A78 superfamily	 - 	 - 
Q#5 - >GFJPDDAG_00005 hypothetical protein	non-specific	315879	28	335	2.46E-43	151.942	pfam13303	PTS_EIIC_2	 - 	cl21492
Q#5 - >GFJPDDAG_00005 hypothetical protein	superfamily	328750	28	335	2.46E-43	151.942	cl21492	PTS_EIIC superfamily	 - 	 - 
Q#5 - >GFJPDDAG_00005 hypothetical protein	non-specific	224218	1	327	4.97E-32	122.31	COG1299	FrwC	 - 	cl21492
Q#6 - >GFJPDDAG_00006 Putrescine export system permease protein SapB	non-specific	223674	83	295	6.39E-12	64.8179	COG0601	DppB	N	cl33970
Q#6 - >GFJPDDAG_00006 Putrescine export system permease protein SapB	superfamily	223674	83	295	6.39E-12	64.8179	cl33970	DppB superfamily	N	 - 
Q#6 - >GFJPDDAG_00006 Putrescine export system permease protein SapB	non-specific	131836	1	294	3.23E-06	47.8331	TIGR02789	nickel_nikB	 - 	cl31248
Q#6 - >GFJPDDAG_00006 Putrescine export system permease protein SapB	superfamily	131836	1	294	3.23E-06	47.8331	cl31248	nickel_nikB superfamily	 - 	 - 
Q#6 - >GFJPDDAG_00006 Putrescine export system permease protein SapB	specific	119394	95	256	0.000477561	40.3397	cd06261	TM_PBP2	 - 	cl00427
Q#6 - >GFJPDDAG_00006 Putrescine export system permease protein SapB	superfamily	351090	95	256	0.000477561	40.3397	cl00427	TM_PBP2 superfamily	 - 	 - 
Q#6 - >GFJPDDAG_00006 Putrescine export system permease protein SapB	non-specific	334128	119	297	0.00264884	38.0489	pfam00528	BPD_transp_1	 - 	cl00427
Q#6 - >GFJPDDAG_00006 Putrescine export system permease protein SapB	non-specific	185065	177	266	0.0203289	35.82	PRK15110	PRK15110	N	cl00427
Q#7 - >GFJPDDAG_00007 Glutathione transport system permease protein GsiD	non-specific	224094	50	274	3.74E-22	93.0944	COG1173	DppC	N	cl34159
Q#7 - >GFJPDDAG_00007 Glutathione transport system permease protein GsiD	superfamily	224094	50	274	3.74E-22	93.0944	cl34159	DppC superfamily	N	 - 
Q#7 - >GFJPDDAG_00007 Glutathione transport system permease protein GsiD	non-specific	182131	50	274	7.03E-12	64.4529	PRK09881	PRK09881	N	cl32428
Q#7 - >GFJPDDAG_00007 Glutathione transport system permease protein GsiD	superfamily	182131	50	274	7.03E-12	64.4529	cl32428	PRK09881 superfamily	N	 - 
Q#7 - >GFJPDDAG_00007 Glutathione transport system permease protein GsiD	non-specific	131837	40	274	2.13E-08	53.5432	TIGR02790	nickel_nikC	 - 	cl31249
Q#7 - >GFJPDDAG_00007 Glutathione transport system permease protein GsiD	superfamily	131837	40	274	2.13E-08	53.5432	cl31249	nickel_nikC superfamily	 - 	 - 
Q#7 - >GFJPDDAG_00007 Glutathione transport system permease protein GsiD	specific	119394	78	266	1.68E-07	50.3549	cd06261	TM_PBP2	 - 	cl00427
Q#7 - >GFJPDDAG_00007 Glutathione transport system permease protein GsiD	superfamily	351090	78	266	1.68E-07	50.3549	cl00427	TM_PBP2 superfamily	 - 	 - 
Q#7 - >GFJPDDAG_00007 Glutathione transport system permease protein GsiD	non-specific	334128	93	269	1.77E-05	44.2121	pfam00528	BPD_transp_1	 - 	cl00427
Q#8 - >GFJPDDAG_00008 Methylamine utilization protein MauD	non-specific	131709	43	154	1.05E-06	46.3917	TIGR02661	MauD	N	cl00388
Q#8 - >GFJPDDAG_00008 Methylamine utilization protein MauD	superfamily	351069	43	154	1.05E-06	46.3917	cl00388	Thioredoxin_like superfamily	N	 - 
Q#8 - >GFJPDDAG_00008 Methylamine utilization protein MauD	non-specific	239265	56	154	2.97E-06	43.9278	cd02967	mauD	 - 	cl00388
Q#8 - >GFJPDDAG_00008 Methylamine utilization protein MauD	non-specific	338996	77	154	0.00225784	35.7617	pfam13905	Thioredoxin_8	 - 	cl00388
Q#9 - >GFJPDDAG_00009 hypothetical protein	non-specific	284659	2	145	1.79E-07	48.7059	pfam07291	MauE	C	cl21527
Q#9 - >GFJPDDAG_00009 hypothetical protein	superfamily	328775	2	145	1.79E-07	48.7059	cl21527	DoxX superfamily	C	 - 
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	specific	224055	20	586	2.68E-96	305.507	COG1132	MdlB	 - 	cl34129
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	superfamily	224055	20	586	2.68E-96	305.507	cl34129	MdlB superfamily	 - 	 - 
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	non-specific	213221	345	571	1.58E-69	224.412	cd03254	ABCC_Glucan_exporter_like	 - 	cl25403
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	superfamily	355390	345	571	1.58E-69	224.412	cl25403	ABC_ATPase superfamily	 - 	 - 
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	non-specific	131258	34	584	5.06E-66	225.751	TIGR02203	MsbA_lipidA	 - 	cl31179
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	superfamily	131258	34	584	5.06E-66	225.751	cl31179	MsbA_lipidA superfamily	 - 	 - 
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	non-specific	183016	251	584	6.48E-49	179.059	PRK11176	PRK11176	N	cl32653
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	superfamily	183016	251	584	6.48E-49	179.059	cl32653	PRK11176 superfamily	N	 - 
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	specific	333758	362	514	1.24E-41	147.405	pfam00005	ABC_tran	 - 	cl21455
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	superfamily	354812	362	514	1.24E-41	147.405	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	specific	214640	371	560	5.72E-08	51.9905	smart00382	AAA	 - 	cl30760
Q#10 - >GFJPDDAG_00010 putative ABC transporter ATP-binding protein	superfamily	357636	371	560	5.72E-08	51.9905	cl30760	AAA superfamily	 - 	 - 
Q#11 - >GFJPDDAG_00011 hypothetical protein	non-specific	315710	67	153	0.0326014	32.4052	pfam13098	Thioredoxin_2	 - 	cl00388
Q#11 - >GFJPDDAG_00011 hypothetical protein	superfamily	351069	67	153	0.0326014	32.4052	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#13 - >GFJPDDAG_00013 RNA polymerase sigma factor SigV	non-specific	213752	3	167	4.07E-67	201.862	TIGR02954	Sig70_famx3	 - 	cl33310
Q#13 - >GFJPDDAG_00013 RNA polymerase sigma factor SigV	superfamily	213752	3	167	4.07E-67	201.862	cl33310	Sig70_famx3 superfamily	 - 	 - 
Q#13 - >GFJPDDAG_00013 RNA polymerase sigma factor SigV	non-specific	182012	1	165	2.72E-38	129.046	PRK09641	PRK09641	 - 	cl32398
Q#13 - >GFJPDDAG_00013 RNA polymerase sigma factor SigV	superfamily	182012	1	165	2.72E-38	129.046	cl32398	PRK09641 superfamily	 - 	 - 
Q#13 - >GFJPDDAG_00013 RNA polymerase sigma factor SigV	specific	224511	3	172	1.62E-37	127.129	COG1595	RpoE	 - 	cl34313
Q#13 - >GFJPDDAG_00013 RNA polymerase sigma factor SigV	superfamily	224511	3	172	1.62E-37	127.129	cl34313	RpoE superfamily	 - 	 - 
Q#13 - >GFJPDDAG_00013 RNA polymerase sigma factor SigV	specific	100119	110	162	4.30E-12	57.8846	cd06171	Sigma70_r4	 - 	cl22867
Q#13 - >GFJPDDAG_00013 RNA polymerase sigma factor SigV	superfamily	354966	110	162	4.30E-12	57.8846	cl22867	Sigma70_r4 superfamily	 - 	 - 
Q#13 - >GFJPDDAG_00013 RNA polymerase sigma factor SigV	specific	335823	20	86	8.39E-12	57.5781	pfam04542	Sigma70_r2	 - 	cl38162
Q#13 - >GFJPDDAG_00013 RNA polymerase sigma factor SigV	superfamily	335823	20	86	8.39E-12	57.5781	cl38162	Sigma70_r2 superfamily	 - 	 - 
Q#14 - >GFJPDDAG_00014 hypothetical protein	non-specific	289964	200	338	1.73E-12	63.7301	pfam13222	DUF4030	 - 	cl16172
Q#14 - >GFJPDDAG_00014 hypothetical protein	superfamily	289964	200	338	1.73E-12	63.7301	cl16172	DUF4030 superfamily	 - 	 - 
Q#14 - >GFJPDDAG_00014 hypothetical protein	specific	316319	40	127	7.79E-08	49.247	pfam13786	DUF4179	 - 	cl16396
Q#14 - >GFJPDDAG_00014 hypothetical protein	superfamily	316319	40	127	7.79E-08	49.247	cl16396	DUF4179 superfamily	 - 	 - 
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	non-specific	275209	39	413	1.79E-114	345.212	TIGR04416	group_II_RT_mat	 - 	cl37441
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	superfamily	275209	39	413	1.79E-114	345.212	cl37441	group_II_RT_mat superfamily	 - 	 - 
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	specific	238828	93	331	4.99E-82	256.744	cd01651	RT_G2_intron	 - 	cl02808
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	superfamily	295487	93	331	4.99E-82	256.744	cl02808	RT_like superfamily	 - 	 - 
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	specific	225881	31	330	1.78E-33	130.344	COG3344	YkfC	 - 	cl34590
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	superfamily	225881	31	330	1.78E-33	130.344	cl34590	YkfC superfamily	 - 	 - 
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	specific	333820	99	331	1.17E-29	115.082	pfam00078	RVT_1	 - 	cl37957
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	superfamily	333820	99	331	1.17E-29	115.082	cl37957	RVT_1 superfamily	 - 	 - 
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	specific	238038	516	561	1.03E-05	42.844	cd00085	HNHc	 - 	cl00083
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	superfamily	350893	516	561	1.03E-05	42.844	cl00083	HNHc superfamily	 - 	 - 
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	specific	214702	528	558	0.0387619	32.8149	smart00507	HNHc	N	cl00083
Q#16 - >GFJPDDAG_00016 Group II intron-encoded protein LtrA	non-specific	280088	531	561	0.0424604	32.3229	pfam01844	HNH	N	cl00083
Q#17 - >GFJPDDAG_00017 hypothetical protein	non-specific	237256	23	62	0.0244765	33.07	PRK12901	secA	N	cl36203
Q#17 - >GFJPDDAG_00017 hypothetical protein	superfamily	237256	23	62	0.0244765	33.07	cl36203	secA superfamily	N	 - 
Q#18 - >GFJPDDAG_00018 Na(+)/H(+) antiporter subunit C	non-specific	181497	1	60	1.26E-21	79.6151	PRK08600	PRK08600	C	cl00492
Q#18 - >GFJPDDAG_00018 Na(+)/H(+) antiporter subunit C	superfamily	351118	1	60	1.26E-21	79.6151	cl00492	Oxidored_q2 superfamily	C	 - 
Q#18 - >GFJPDDAG_00018 Na(+)/H(+) antiporter subunit C	non-specific	223938	1	57	6.89E-11	52.6393	COG1006	MnhC	C	cl00492
Q#18 - >GFJPDDAG_00018 Na(+)/H(+) antiporter subunit C	non-specific	273354	1	61	7.55E-10	49.8049	TIGR00941	2a6301s03	C	cl00492
Q#19 - >GFJPDDAG_00019 hypothetical protein	non-specific	310845	40	79	0.0120923	33.2603	pfam06525	SoxE	C	cl19115
Q#19 - >GFJPDDAG_00019 hypothetical protein	superfamily	354382	40	79	0.0120923	33.2603	cl19115	Cupredoxin superfamily	C	 - 
Q#20 - >GFJPDDAG_00020 hypothetical protein	non-specific	226044	143	262	0.0404646	35.2612	COG3513	Cas9	NC	cl34627
Q#20 - >GFJPDDAG_00020 hypothetical protein	superfamily	226044	143	262	0.0404646	35.2612	cl34627	Cas9 superfamily	NC	 - 
Q#21 - >GFJPDDAG_00021 hypothetical protein	non-specific	250464	40	60	0.0922827	31.6221	pfam01234	NNMT_PNMT_TEMT	N	cl17173
Q#21 - >GFJPDDAG_00021 hypothetical protein	superfamily	354317	40	60	0.0922827	31.6221	cl17173	AdoMet_MTases superfamily	N	 - 
Q#22 - >GFJPDDAG_00022 hypothetical protein	specific	314106	1	259	5.17E-160	444.03	pfam11079	YqhG	 - 	cl12640
Q#22 - >GFJPDDAG_00022 hypothetical protein	superfamily	314106	1	259	5.17E-160	444.03	cl12640	YqhG superfamily	 - 	 - 
Q#22 - >GFJPDDAG_00022 hypothetical protein	non-specific	238397	177	263	0.0517664	34.1031	cd00774	GlyRS-like_core	N	cl00268
Q#22 - >GFJPDDAG_00022 hypothetical protein	superfamily	350993	177	263	0.0517664	34.1031	cl00268	class_II_aaRS-like_core superfamily	N	 - 
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	specific	350769	60	260	4.08E-63	205.986	cd18011	DEXDc_RapA	 - 	cl28899
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	superfamily	355775	60	260	4.08E-63	205.986	cl28899	DEAD-like_helicase_N superfamily	 - 	 - 
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	specific	223627	36	520	9.84E-49	181.471	COG0553	HepA	N	cl33945
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	superfamily	223627	36	520	9.84E-49	181.471	cl33945	HepA superfamily	N	 - 
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	specific	350180	349	477	2.18E-44	153.401	cd18793	SF2_C_SNF	 - 	cl38915
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	superfamily	365791	349	477	2.18E-44	153.401	cl38915	DEAD-like_helicase_C superfamily	 - 	 - 
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	non-specific	235319	48	540	1.62E-43	166.166	PRK04914	PRK04914	C	cl35273
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	superfamily	235319	48	540	1.62E-43	166.166	cl35273	PRK04914 superfamily	C	 - 
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	non-specific	306645	63	290	1.82E-28	115.186	pfam00176	SNF2_N	 - 	cl37620
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	superfamily	306645	63	290	1.82E-28	115.186	cl37620	SNF2_N superfamily	 - 	 - 
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	specific	214692	59	229	1.64E-25	103.726	smart00487	DEXDc	 - 	cl28899
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	specific	333970	360	467	7.50E-24	96.1211	pfam00271	Helicase_C	 - 	cl28899
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	superfamily	355775	360	467	7.50E-24	96.1211	cl28899	DEAD-like_helicase_N superfamily	 - 	 - 
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	specific	197757	388	467	6.84E-20	83.8005	smart00490	HELICc	 - 	cl28899
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	non-specific	226581	59	179	4.87E-06	49.361	COG4096	HsdR	C	cl34711
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	superfamily	226581	59	179	4.87E-06	49.361	cl34711	HsdR superfamily	C	 - 
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	non-specific	273594	359	468	0.000338791	43.1376	TIGR01389	recQ	NC	cl36892
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	superfamily	273594	359	468	0.000338791	43.1376	cl36892	recQ superfamily	NC	 - 
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	non-specific	274978	52	124	0.00119149	41.1752	TIGR04095	dnd_restrict_1	C	cl37388
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	superfamily	274978	52	124	0.00119149	41.1752	cl37388	dnd_restrict_1 superfamily	C	 - 
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	non-specific	222875	57	181	0.00442311	39.6078	PHA02558	uvsW	NC	cl33684
Q#23 - >GFJPDDAG_00023 RNA polymerase-associated protein RapA	superfamily	222875	57	181	0.00442311	39.6078	cl33684	uvsW superfamily	NC	 - 
Q#24 - >GFJPDDAG_00024 Aminomethyltransferase	specific	234742	3	368	0	585.928	PRK00389	gcvT	 - 	cl29882
Q#24 - >GFJPDDAG_00024 Aminomethyltransferase	superfamily	356758	3	368	0	585.928	cl29882	gcvT superfamily	 - 	 - 
Q#24 - >GFJPDDAG_00024 Aminomethyltransferase	specific	223481	1	368	2.01E-161	457.098	COG0404	GcvT	 - 	cl30584
Q#24 - >GFJPDDAG_00024 Aminomethyltransferase	superfamily	357460	1	368	2.01E-161	457.098	cl30584	GCV_T_C superfamily	 - 	 - 
Q#24 - >GFJPDDAG_00024 Aminomethyltransferase	non-specific	273121	4	365	8.96E-157	444.652	TIGR00528	gcvT	 - 	cl29882
Q#24 - >GFJPDDAG_00024 Aminomethyltransferase	specific	307625	10	261	2.02E-117	340.325	pfam01571	GCV_T	 - 	cl01893
Q#24 - >GFJPDDAG_00024 Aminomethyltransferase	superfamily	351633	10	261	2.02E-117	340.325	cl01893	GCV_T superfamily	 - 	 - 
Q#25 - >GFJPDDAG_00025 putative glycine dehydrogenase (decarboxylating) subunit 1	specific	234769	2	444	0	819.766	PRK00451	PRK00451	 - 	cl18945
Q#25 - >GFJPDDAG_00025 putative glycine dehydrogenase (decarboxylating) subunit 1	superfamily	354370	2	444	0	819.766	cl18945	Beta_elim_lyase superfamily	 - 	 - 
Q#25 - >GFJPDDAG_00025 putative glycine dehydrogenase (decarboxylating) subunit 1	specific	223480	1	444	0	618.105	COG0403	GcvP1	 - 	cl18945
Q#25 - >GFJPDDAG_00025 putative glycine dehydrogenase (decarboxylating) subunit 1	non-specific	280502	3	443	0	580.869	pfam02347	GDC-P	 - 	cl18945
Q#25 - >GFJPDDAG_00025 putative glycine dehydrogenase (decarboxylating) subunit 1	specific	99737	50	443	0	536.044	cd00613	GDC-P	 - 	cl29034
Q#25 - >GFJPDDAG_00025 putative glycine dehydrogenase (decarboxylating) subunit 1	superfamily	355910	50	443	0	536.044	cl29034	AAT_I superfamily	 - 	 - 
Q#25 - >GFJPDDAG_00025 putative glycine dehydrogenase (decarboxylating) subunit 1	non-specific	273089	4	357	5.64E-93	300.68	TIGR00461	gcvP	C	cl36663
Q#25 - >GFJPDDAG_00025 putative glycine dehydrogenase (decarboxylating) subunit 1	superfamily	273089	4	357	5.64E-93	300.68	cl36663	gcvP superfamily	C	 - 
Q#26 - >GFJPDDAG_00026 putative glycine dehydrogenase (decarboxylating) subunit 2	specific	235292	2	483	0	949.166	PRK04366	PRK04366	 - 	cl18945
Q#26 - >GFJPDDAG_00026 putative glycine dehydrogenase (decarboxylating) subunit 2	superfamily	354370	2	483	0	949.166	cl18945	Beta_elim_lyase superfamily	 - 	 - 
Q#26 - >GFJPDDAG_00026 putative glycine dehydrogenase (decarboxylating) subunit 2	specific	223935	1	483	0	773.776	COG1003	GcvP2	 - 	cl18945
Q#26 - >GFJPDDAG_00026 putative glycine dehydrogenase (decarboxylating) subunit 2	specific	99737	53	444	2.77E-158	454.382	cd00613	GDC-P	 - 	cl29034
Q#26 - >GFJPDDAG_00026 putative glycine dehydrogenase (decarboxylating) subunit 2	superfamily	355910	53	444	2.77E-158	454.382	cl29034	AAT_I superfamily	 - 	 - 
Q#26 - >GFJPDDAG_00026 putative glycine dehydrogenase (decarboxylating) subunit 2	non-specific	273089	36	464	2.23E-116	363.853	TIGR00461	gcvP	N	cl36663
Q#26 - >GFJPDDAG_00026 putative glycine dehydrogenase (decarboxylating) subunit 2	superfamily	273089	36	464	2.23E-116	363.853	cl36663	gcvP superfamily	N	 - 
Q#26 - >GFJPDDAG_00026 putative glycine dehydrogenase (decarboxylating) subunit 2	non-specific	334436	118	273	9.69E-08	53.3689	pfam01212	Beta_elim_lyase	C	cl18945
Q#27 - >GFJPDDAG_00027 putative adenylyltransferase/sulfurtransferase MoeZ	specific	238089	42	119	4.05E-29	100.837	cd00158	RHOD	 - 	cl00125
Q#27 - >GFJPDDAG_00027 putative adenylyltransferase/sulfurtransferase MoeZ	superfamily	350910	42	119	4.05E-29	100.837	cl00125	RHOD superfamily	 - 	 - 
Q#27 - >GFJPDDAG_00027 putative adenylyltransferase/sulfurtransferase MoeZ	specific	223680	25	124	1.74E-25	92.3076	COG0607	PspE	 - 	cl00125
Q#27 - >GFJPDDAG_00027 putative adenylyltransferase/sulfurtransferase MoeZ	specific	197731	43	119	2.08E-22	84.0481	smart00450	RHOD	 - 	cl00125
Q#27 - >GFJPDDAG_00027 putative adenylyltransferase/sulfurtransferase MoeZ	specific	334158	43	119	2.96E-21	80.9784	pfam00581	Rhodanese	 - 	cl00125
Q#27 - >GFJPDDAG_00027 putative adenylyltransferase/sulfurtransferase MoeZ	non-specific	236337	44	119	6.67E-20	83.1372	PRK08762	PRK08762	C	cl35741
Q#27 - >GFJPDDAG_00027 putative adenylyltransferase/sulfurtransferase MoeZ	superfamily	236337	44	119	6.67E-20	83.1372	cl35741	PRK08762 superfamily	C	 - 
Q#27 - >GFJPDDAG_00027 putative adenylyltransferase/sulfurtransferase MoeZ	non-specific	132026	47	118	7.62E-11	54.6385	TIGR02981	phageshock_pspE	N	cl00125
Q#28 - >GFJPDDAG_00028 Octanoyltransferase LipM	specific	223173	5	278	5.29E-80	241.521	COG0095	LplA	 - 	cl14057
Q#28 - >GFJPDDAG_00028 Octanoyltransferase LipM	superfamily	353805	5	278	5.29E-80	241.521	cl14057	BPL_LplA_LipB superfamily	 - 	 - 
Q#28 - >GFJPDDAG_00028 Octanoyltransferase LipM	specific	319742	6	240	8.83E-70	214.041	cd16443	LplA	 - 	cl14057
Q#28 - >GFJPDDAG_00028 Octanoyltransferase LipM	specific	308622	52	189	1.97E-27	102.898	pfam03099	BPL_LplA_LipB	 - 	cl14057
Q#28 - >GFJPDDAG_00028 Octanoyltransferase LipM	non-specific	161920	7	278	2.06E-26	105.287	TIGR00545	lipoyltrans	C	cl14057
Q#28 - >GFJPDDAG_00028 Octanoyltransferase LipM	non-specific	172552	5	276	2.34E-10	60.5057	PRK14061	PRK14061	N	cl31656
Q#28 - >GFJPDDAG_00028 Octanoyltransferase LipM	superfamily	172552	5	276	2.34E-10	60.5057	cl31656	PRK14061 superfamily	N	 - 
Q#29 - >GFJPDDAG_00029 Vitamin B12-dependent ribonucleoside-diphosphate reductase	specific	236152	1	857	0	1701.58	PRK08115	PRK08115	 - 	cl35642
Q#29 - >GFJPDDAG_00029 Vitamin B12-dependent ribonucleoside-diphosphate reductase	superfamily	236152	1	857	0	1701.58	cl35642	PRK08115 superfamily	 - 	 - 
Q#29 - >GFJPDDAG_00029 Vitamin B12-dependent ribonucleoside-diphosphate reductase	specific	274168	117	777	0	649.385	TIGR02504	NrdJ_Z	 - 	cl37129
